seq1	>ref-NC_005301.3 Crimean-Congo hemorrhagic fever virus segment L, complete sequence-table4-Nairoviridae-HMM2174-2703_13.0-ORF140
seq2	>ref-NC_025831.1 Leopards Hill virus cRNA, segment: L, complete sequence, strain: 11SB17-table6-Nairoviridae-HMM2178-2704_13.0-ORF122
seq3	>ref-NC_029124.1 Tofla virus viral cRNA, complete genome, segment: L-table4-Nairoviridae-HMM2165-2694_13.0-ORF130
seq4	>ref-NC_029909.1 Erve virus segment L, complete sequence-table6-Nairoviridae-HMM2093-2621_13.0-ORF126
seq5	>ref-NC_029931.1 Yogue virus isolate DakAnD 56 RNA-dependent RNA polymerase gene, complete cds-table6-Nairoviridae-HMM2182-2708_13.0-ORF130
seq6	>ref-NC_031135.1 Huangpi Tick Virus 1 strain H124-1 RNA-dependent RNA polymerase (L) gene, complete cds-table6-Nairoviridae-HMM2155-2682_13.0-ORF132
seq7	>ref-NC_031141.1 Sanxia Water Strider Virus 1 strain SXSSP08 RNA-dependent RNA polymerase (L) gene, complete cds-table6-Nairoviridae-HMM2085-2615_13.0-ORF130
seq8	>ref-NC_031291.1 Wenzhou Tick Virus strain TS1-2 RNA-dependent RNA polymerase (L) gene, complete cds-table6-Nairoviridae-HMM2201-2727_13.0-ORF131
seq9	>ref-NC_031220.1 Shayang Spider Virus 1 strain SYZZ-4 RNA-dependent RNA polymerase (L) gene, complete cds-table4-Nairoviridae-HMM2325-2857_11.0-ORF148
seq10	>ref-NC_031284.1 Tacheng Tick Virus 1 strain TC253 RNA-dependent RNA polymerase (L) gene, complete cds-table6-Nairoviridae-HMM2253-2780_12.0-ORF124
seq11	>ref-NC_032514.1 Wuhan pillworm virus 1 strain WHSFII20185 RNA-dependent RNA polymerase gene, complete cds-table4-Nairoviridae-HMM2058-2218_4.0-ORF122
seq12	>ref-NC_033756.1 Beihai shrimp virus 3 strain BHBJDX18821 RNA-dependent RNA polymerase gene, complete cds-table6-Nairoviridae-HMM1703-1962_7.0-ORF126
seq13	>ref-NC_034392.1 Keterrah virus isolate P61361 RNA-dependent RNA polymerase gene, complete cds-table6-Nairoviridae-HMM2191-2717_12.0-ORF133
seq14	>ref-NC_034387.1 Nairobi sheep disease virus isolate Jilin segment L RNA-dependent RNA polymerase gene, complete cds-table6-Nairoviridae-HMM2205-2734_13.0-ORF130
seq15	>ref-NC_034502.1 UNVERIFIED: Farallon virus isolate CalAr846 segment L cRNA sequence-table6-Nairoviridae-HMM2180-2705_13.0-ORF126
seq16	>ref-NC_034511.1 UNVERIFIED: Qalyub virus isolate ErAg370 segment L cRNA sequence-table6-Nairoviridae-HMM2172-2698_13.0-ORF126
seq17	>ref-NC_034561.1 UNVERIFIED: Clo Mor virus isolate ScotAr7 segment L cRNA sequence-table6-Nairoviridae-HMM2123-2650_13.0-ORF139
seq18	>ref-NC_036636.1 Kasokero virus isolate Z-52963 RNA-dependent RNA polymerase gene, complete cds-table6-Nairoviridae-HMM2183-2709_13.0-ORF131
seq19	>nrnt-KX884861 Wenling crustacean virus 8 strain WLJQ104142 RNA-dependent RNA polymerase gene, complete cds.-table4-Nairoviridae-HMM1489-1901_13.0-ORF92
seq20	>nrnt-KX884825 Shahe bunya-like virus 4 strain SHWC0209c12661 RNA-dependent RNA polymerase gene, partial cds.-table1-Nairoviridae-HMM1088-1547_22.0-ORF59
seq21	>nrnt-KX884824 Shahe bunya-like virus 3 strain SHWC0209c12636 RNA-dependent RNA polymerase gene, complete cds.-table6-Nairoviridae-HMM1858-2316_13.0-ORF116
