seq1	>ref-NC_004752.1 Yam mosaic virus, complete genome-table6-Potyviridae-HMM2298-2761_14.0-ORF110
seq2	>ref-NC_005136.1 Oat necrotic mottle virus, complete genome-table6-Potyviridae-HMM2197-2648_14.0-ORF99
seq3	>ref-NC_003398.1 Sugarcane mosaic virus, complete genome-table6-Potyviridae-HMM2244-2706_14.0-ORF91
seq4	>ref-NC_005304.1 Beet mosaic virus, complete genome-table6-Potyviridae-HMM2347-2813_14.0-ORF111
seq5	>ref-NC_005904.1 Hordeum mosaic virus, complete genome-table6-Potyviridae-HMM2270-2736_14.0-ORF105
seq6	>ref-NC_006262.1 Watermelon mosaic virus, complete genome-table6-Potyviridae-HMM2462-2928_14.0-ORF109
seq7	>ref-NC_005903.1 Agropyron mosaic virus, complete genome-table4-Potyviridae-HMM2269-2735_14.0-ORF100
seq8	>ref-NC_004035.1 Sorghum mosaic virus, complete genome-table4-Potyviridae-HMM2290-2752_14.0-ORF111
seq9	>ref-NC_003397.1 Bean common mosaic virus, complete genome-table6-Potyviridae-HMM2441-2905_14.0-ORF104
seq10	>ref-NC_006941.1 Cucumber vein yellowing virus, complete genome-table4-Potyviridae-HMM2305-2757_14.0-ORF113
seq11	>ref-NC_003399.1 Scallion mosaic virus, complete genome-table4-Potyviridae-HMM2221-2686_15.0-ORF105
seq12	>ref-NC_004011.1 Leek yellow stripe virus, complete genome-table4-Potyviridae-HMM2381-2844_14.0-ORF111
seq13	>ref-NC_005778.1 Chilli veinal mottle virus, complete genome-table6-Potyviridae-HMM2335-2800_14.0-ORF98
seq14	>ref-NC_001671.1 Pea seed-borne mosaic virus, complete genome-table6-Potyviridae-HMM2417-2883_14.0-ORF117
seq15	>ref-NC_001517.1 Pepper mottle virus, complete genome-table4-Potyviridae-HMM2294-2760_14.0-ORF106
seq16	>ref-NC_003501.1 Brome streak mosaic virus, complete genome-table6-Potyviridae-HMM2324-2778_14.0-ORF111
seq17	>ref-NC_003797.1 Sweet potato mild mottle virus, complete genome-table6-Potyviridae-HMM2699-3154_12.0-ORF113
seq18	>ref-NC_001814.1 Ryegrass mosaic virus, complete genome-table6-Potyviridae-HMM2276-2742_14.0-ORF111
seq19	>ref-NC_001768.1 Tobacco vein mottling virus, complete genome-table6-Potyviridae-HMM2292-2758_14.0-ORF94
seq20	>ref-NC_002600.1 Peanut mottle virus, complete genome-table6-Potyviridae-HMM2343-2808_14.0-ORF114
seq21	>ref-NC_002990.1 Barley yellow mosaic virus RNA 1, complete sequence-table6-Potyviridae-HMM1684-2136_17.0-ORF72
seq22	>ref-NC_004010.1 Potato virus V, complete genome-table6-Potyviridae-HMM2342-2808_14.0-ORF116
seq23	>ref-NC_003537.1 Dasheen mosaic virus, complete genome-table6-Potyviridae-HMM2416-2881_14.0-ORF103
seq24	>ref-NC_005028.1 Papaya leaf-distortion mosaic potyvirus, complete genome-table6-Potyviridae-HMM2501-2966_13.0-ORF114
seq25	>ref-NC_001555.1 Tobacco etch virus, complete genome-table4-Potyviridae-HMM2325-2787_14.0-ORF102
seq26	>ref-NC_004047.1 Bean common mosaic necrosis virus, complete genome-table6-Potyviridae-HMM2343-2809_14.0-ORF104
seq27	>ref-NC_003606.1 Johnsongrass mosaic virus, complete genome-table6-Potyviridae-HMM2279-2744_14.0-ORF104
seq28	>ref-NC_003536.1 Clover yellow vein virus, complete genome-table6-Potyviridae-HMM2346-2811_14.0-ORF102
seq29	>ref-NC_004039.1 Potato virus A, complete genome-table6-Potyviridae-HMM2291-2757_15.0-ORF103
seq30	>ref-NC_003224.1 Zucchini yellow mosaic virus, complete genome-table6-Potyviridae-HMM2329-2795_14.0-ORF110
seq31	>ref-NC_004013.1 Cowpea aphid-borne mosaic virus, complete genome-table4-Potyviridae-HMM2284-2751_15.0-ORF102
seq32	>ref-NC_004573.1 Peru tomato mosaic virus, complete genome-table6-Potyviridae-HMM2344-2810_14.0-ORF113
seq33	>ref-NC_001785.1 Papaya ringspot virus, complete genome-table6-Potyviridae-HMM2550-3012_13.0-ORF107
seq34	>ref-NC_001445.1 Plum pox virus, complete genome-table6-Potyviridae-HMM2339-2805_14.0-ORF111
seq35	>ref-NC_003483.1 Barley mild mosaic virus RNA 1, complete sequence-table6-Potyviridae-HMM1564-2016_19.0-ORF78
seq36	>ref-NC_003605.1 Lettuce mosaic virus, complete genome-table6-Potyviridae-HMM2490-2956_13.0-ORF100
seq37	>ref-NC_001886.1 Wheat streak mosaic virus, complete genome-table6-Potyviridae-HMM2196-2648_14.0-ORF101
seq38	>ref-NC_002350.1 Wheat yellow mosaic virus RNA 1, complete sequence-table6-Potyviridae-HMM1655-2105_17.0-ORF74
seq39	>ref-NC_002634.1 Soybean mosaic virus, complete genome-table6-Potyviridae-HMM2326-2792_14.0-ORF102
seq40	>ref-NC_004016.1 Oat mosaic virus RNA 1, complete genome-table6-Potyviridae-HMM1609-2062_18.0-ORF76
seq41	>ref-NC_003742.1 Cocksfoot streak virus, complete genome-table4-Potyviridae-HMM2330-2795_14.0-ORF108
seq42	>ref-NC_005029.1 Onion yellow dwarf virus, complete genome-table4-Potyviridae-HMM2664-3130_13.0-ORF124
seq43	>ref-NC_001616.1 Potato virus Y, complete genome-table6-Potyviridae-HMM2335-2803_14.0-ORF100
seq44	>ref-NC_003492.1 Bean yellow mosaic virus, complete genome-table6-Potyviridae-HMM2275-2739_14.0-ORF106
seq45	>ref-NC_001841.1 Sweet potato feathery mottle virus, complete genome-table6-Potyviridae-HMM2695-3161_12.0-ORF116
seq46	>ref-NC_003377.1 Maize dwarf mosaic virus, complete genome-table4-Potyviridae-HMM2278-2741_14.0-ORF114
seq47	>ref-NC_000947.1 Japanese yam mosaic virus, complete genome-table6-Potyviridae-HMM2374-2840_14.0-ORF100
seq48	>ref-NC_004426.1 Wild potato mosaic virus, complete genome-table6-Potyviridae-HMM2334-2800_14.0-ORF112
seq49	>ref-NC_002509.2 Turnip mosaic virus, complete genome-table4-Potyviridae-HMM2401-2867_14.0-ORF110
seq50	>ref-NC_007147.1 Pennisetum mosaic virus, complete genome-table4-Potyviridae-HMM2301-2765_14.0-ORF98
seq51	>ref-NC_007433.1 Shallot yellow stripe virus, complete genome-table6-Potyviridae-HMM2633-3098_13.0-ORF115
seq52	>ref-NC_007180.1 Thunberg fritillary virus, complete genome-table4-Potyviridae-HMM2382-2844_14.0-ORF119
seq53	>ref-NC_005288.1 Lily mottle virus, complete genome-table6-Potyviridae-HMM2355-2819_14.0-ORF104
seq54	>ref-NC_007216.1 Wisteria vein mosaic virus, complete genome-table4-Potyviridae-HMM2322-2788_14.0-ORF119
seq55	>ref-NC_007728.1 East Asian Passiflora virus, complete genome-table4-Potyviridae-HMM2454-2920_14.0-ORF103
seq56	>ref-NC_007913.1 Konjac mosaic virus, complete genome-table6-Potyviridae-HMM2344-2808_14.0-ORF111
seq57	>ref-NC_008393.1 Pepper severe mosaic virus, complete genome-table6-Potyviridae-HMM2323-2789_14.0-ORF116
seq58	>ref-NC_008558.1 Blackberry virus Y, complete genome-table6-Potyviridae-HMM2664-3123_12.0-ORF111
seq59	>ref-NC_008028.1 Daphne mosaic virus, complete genome-table4-Potyviridae-HMM2296-2761_14.0-ORF92
seq60	>ref-NC_008824.1 Narcissus degeneration virus, complete genome-table6-Potyviridae-HMM2418-2882_14.0-ORF111
seq61	>ref-NC_009744.1 Wild tomato mosaic virus, complete genome-table6-Potyviridae-HMM2331-2795_14.0-ORF101
seq62	>ref-NC_009995.1 Moroccan watermelon mosaic virus, complete genome-table4-Potyviridae-HMM2372-2836_14.0-ORF104
seq63	>ref-NC_009745.1 Banana bract mosaic virus, complete genome-table6-Potyviridae-HMM2347-2811_14.0-ORF112
seq64	>ref-NC_009742.1 Telosma mosaic virus, complete genome-table6-Potyviridae-HMM2325-2791_14.0-ORF104
seq65	>ref-NC_009805.1 Wheat eqlid mosaic virus, complete genome-table4-Potyviridae-HMM2261-2719_14.0-ORF108
seq66	>ref-NC_009994.1 Tobacco vein banding mosaic virus, complete genome-table6-Potyviridae-HMM2326-2791_14.0-ORF104
seq67	>ref-NC_009741.1 Basella rugose mosaic virus, complete genome-table6-Potyviridae-HMM2345-2811_14.0-ORF111
seq68	>ref-NC_010735.1 Verbena virus Y, complete genome-table6-Potyviridae-HMM2346-2812_14.0-ORF112
seq69	>ref-NC_010521.1 Squash vein yellowing virus, complete genome-table4-Potyviridae-HMM2353-2808_14.0-ORF104
seq70	>ref-NC_010736.1 Algerian watermelon mosaic virus, complete genome-table4-Potyviridae-HMM2386-2849_14.0-ORF111
seq71	>ref-NC_010954.1 Fritillary virus Y, complete genome-table6-Potyviridae-HMM2344-2809_14.0-ORF109
seq72	>ref-NC_011541.1 Narcissus yellow stripe virus, complete genome-table4-Potyviridae-HMM2354-2819_14.0-ORF108
seq73	>ref-NC_011560.1 Zantedeschia mild mosaic virus, complete genome-table6-Potyviridae-HMM2365-2831_14.0-ORF100
seq74	>ref-NC_011918.1 Pepper veinal mottle virus, complete genome-table4-Potyviridae-HMM2294-2759_15.0-ORF98
seq75	>ref-NC_012799.1 Triticum mosaic virus, complete genome-table4-Potyviridae-HMM2384-2835_14.0-ORF117
seq76	>ref-NC_012698.2 Cassava brown streak virus, complete genome-table6-Potyviridae-HMM1833-2285_15.0-ORF97
seq77	>ref-NC_013261.1 Canna Yellow Streak Virus, complete genome-table6-Potyviridae-HMM2287-2750_14.0-ORF104
seq78	>ref-NC_014038.1 Sunflower chlorotic mottle virus, complete genome-table4-Potyviridae-HMM2447-2913_14.0-ORF102
seq79	>ref-NC_014037.1 Sugarcane streak mosaic virus, complete genome-table4-Potyviridae-HMM2414-2865_14.0-ORF94
seq80	>ref-NC_014252.1 Panax virus Y, complete genome-table6-Potyviridae-HMM2328-2793_14.0-ORF98
seq81	>ref-NC_014898.1 Lupine mosaic virus, complete genome-table6-Potyviridae-HMM2508-2973_13.0-ORF103
seq82	>ref-NC_014742.1 Sweet potato virus C, complete genome-table6-Potyviridae-HMM2696-3162_13.0-ORF105
seq83	>ref-NC_014791.1 Ugandan cassava brown streak virus, complete genome-table6-Potyviridae-HMM1853-2305_15.0-ORF99
seq84	>ref-NC_014325.1 Bidens mottle virus, complete genome-table6-Potyviridae-HMM2327-2793_14.0-ORF101
seq85	>ref-NC_014536.1 Brugmansia suaveolens mottle virus, complete genome-table4-Potyviridae-HMM2359-2825_14.0-ORF108
seq86	>ref-NC_014790.2 Passion fruit woodiness virus, complete genome-table6-Potyviridae-HMM2346-2812_14.0-ORF109
seq87	>ref-NC_014064.1 Freesia mosaic virus, complete genome-table6-Potyviridae-HMM2064-2527_14.0-ORF92
seq88	>ref-NC_014327.1 Pepper yellow mosaic virus RNA, complete genome, strain: DF-table6-Potyviridae-HMM2357-2823_14.0-ORF107
seq89	>ref-NC_015394.2 Hardenbergia mosaic virus, complete genome-table4-Potyviridae-HMM2349-2815_14.0-ORF109
seq90	>ref-NC_014905.1 Apium virus Y, complete genome-table6-Potyviridae-HMM2433-2898_14.0-ORF102
seq91	>ref-NC_015393.1 Celery mosaic virus, complete genome-table6-Potyviridae-HMM2446-2911_14.0-ORF103
seq92	>ref-NC_016441.1 Yam bean mosaic virus, complete genome-table6-Potyviridae-HMM2336-2799_14.0-ORF112
seq93	>ref-NC_017967.1 Hippeastrum mosaic virus, complete genome-table6-Potyviridae-HMM2417-2884_14.0-ORF110
seq94	>ref-NC_016159.1 Keunjorong mosaic virus isolate Cheongwon, complete genome-table6-Potyviridae-HMM2287-2752_14.0-ORF103
seq95	>ref-NC_017970.1 Sweet potato virus 2, complete genome-table4-Potyviridae-HMM2651-3117_13.0-ORF106
seq96	>ref-NC_016044.1 Chilli ringspot virus, complete genome-table6-Potyviridae-HMM2344-2809_14.0-ORF106
seq97	>ref-NC_018176.1 Arracacha mottle virus, complete genome-table6-Potyviridae-HMM2338-2803_14.0-ORF111
seq98	>ref-NC_018455.1 Chinese yam necrotic mosaic virus, complete genome-table6-Potyviridae-HMM1850-2308_16.0-ORF102
seq99	>ref-NC_018572.1 Caladenia virus A, complete genome-table6-Potyviridae-HMM2424-2882_14.0-ORF97
seq100	>ref-NC_018833.1 Iranian johnsongrass mosaic virus, complete genome-table6-Potyviridae-HMM2279-2742_14.0-ORF102
seq101	>ref-NC_018872.2 Pokeweed mosaic virus isolate PkMV-PA, complete genome-table6-Potyviridae-HMM2307-2768_14.0-ORF99
seq102	>ref-NC_017824.1 Tomato necrotic stunt virus, complete genome-table6-Potyviridae-HMM2393-2859_14.0-ORF119
seq103	>ref-NC_017977.1 Vallota speciosa virus, complete genome-table4-Potyviridae-HMM2480-2944_14.0-ORF114
seq104	>ref-NC_018093.1 Sweet potato virus G isolate Jesus Maria, complete genome-table6-Potyviridae-HMM2613-3079_13.0-ORF114
seq105	>ref-NC_019031.1 Rose yellow mosaic virus, complete genome-table6-Potyviridae-HMM2327-2784_14.0-ORF114
seq106	>ref-NC_019409.1 Ornithogalum mosaic virus, complete genome-table6-Potyviridae-HMM2285-2752_15.0-ORF115
seq107	>ref-NC_019412.1 Yam mild mosaic virus from Brazil, complete genome-table6-Potyviridae-HMM2349-2811_14.0-ORF109
