seq1	>ref-NC_003773.1 Rice dwarf virus segment 1, complete sequence-table4-Sedoreovirinae_1-HMM335-934_40.0-ORF54
seq2	>ref-NC_004210.1 Kadipiro virus chromosome segment 1, complete genome-table6-Sedoreovirinae_1-HMM292-673_30.0-ORF46
seq3	>ref-NC_006023.1 Bluetongue virus segment 1, complete sequence-table4-Sedoreovirinae_1-HMM246-839_45.0-ORF45
seq4	>ref-NC_005990.1 Palyam virus segment 1, complete sequence-table6-Sedoreovirinae_1-HMM244-841_45.0-ORF46
seq5	>ref-NC_006021.1 African horsesickness virus segment 1, complete genome-table4-Sedoreovirinae_1-HMM246-844_45.0-ORF50
seq6	>ref-NC_005997.1 St Croix river virus segment 1 putative RNA-dependent RNA polymerase VP1 gene, complete cds-table6-Sedoreovirinae_1-HMM276-875_44.0-ORF42
seq7	>ref-NC_004211.1 Banna virus strain JKT-6423 segment 1, complete sequence-table6-Sedoreovirinae_1-HMM297-691_31.0-ORF43
seq8	>ref-NC_007656.1 Yunnan orbivirus segment 1, complete sequence-table4-Sedoreovirinae_1-HMM255-854_45.0-ORF45
seq9	>ref-NC_007736.1 Liao ning virus segment 1, complete genome-table6-Sedoreovirinae_1-HMM295-676_30.0-ORF46
seq10	>ref-NC_007748.1 Peruvian horse sickness virus segment 1, complete genome-table4-Sedoreovirinae_1-HMM250-850_45.0-ORF40
seq11	>ref-NC_009248.1 Rice gall dwarf virus segment S1, complete sequence-table4-Sedoreovirinae_1-HMM332-933_40.0-ORF56
seq12	>ref-NC_012535.1 Homalodisca vitripennis reovirus segment S1, complete genome-table6-Sedoreovirinae_1-HMM324-924_40.0-ORF52
seq13	>ref-NC_013396.1 Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey) segment 1-table6-Sedoreovirinae_1-HMM247-839_45.0-ORF53
seq14	>ref-NC_012754.1 Stretch Lagoon orbivirus segment 1, complete genome-table6-Sedoreovirinae_1-HMM242-838_45.0-ORF44
seq15	>ref-NC_014522.1 Great Island virus segment 1, complete genome-table6-Sedoreovirinae_1-HMM230-827_45.0-ORF31
seq16	>ref-NC_022639.1 Changuinola virus isolate CGLV/BE AN 28873 segment 1, complete sequence-table6-Sedoreovirinae_1-HMM248-846_45.0-ORF50
seq17	>ref-NC_022626.1 Mobuck virus strain 12-2 segment 1, complete sequence-table4-Sedoreovirinae_1-HMM268-867_44.0-ORF51
seq18	>ref-NC_022553.1 Wallal virus isolate 927 segment 1, complete sequence-table4-Sedoreovirinae_1-HMM246-841_45.0-ORF48
seq19	>ref-NC_024503.1 Umatilla virus isolate USA1969/01 segment 1, complete sequence-table6-Sedoreovirinae_1-HMM242-839_45.0-ORF47
seq20	>ref-NC_027553.1 Chobar Gorge virus isolate NEP1970/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds-table6-Sedoreovirinae_1-HMM229-826_46.0-ORF41
seq21	>ref-NC_027533.1 Wad Medani virus isolate SUD1952/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds-table4-Sedoreovirinae_1-HMM246-844_45.0-ORF35
seq22	>ref-NC_027534.1 Chenuda virus isolate EGY1954/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds-table6-Sedoreovirinae_1-HMM229-826_45.0-ORF46
seq23	>ref-NC_027803.1 Fengkai orbivirus isolate D181/2008 segment 1, complete sequence-table6-Sedoreovirinae_1-HMM248-841_45.0-ORF47
seq24	>ref-NC_029904.1 Callinectes sapidus reovirus 1 segment 1 VP1 gene, complete cds-table6-Sedoreovirinae_1-HMM400-1024_43.0-ORF51
seq25	>ref-NC_033782.1 Orbivirus SX-2017a VP1 gene, complete cds-table6-Sedoreovirinae_1-HMM248-841_45.0-ORF47
seq26	>nrnt-MF124282 Bluetongue virus isolate TUN2017 segment 1 VP1 gene, partial cds.-table4-Sedoreovirinae_1-HMM229-822_45.0-ORF52
