seq1	>ref-NC_003506.1 Beet soil-borne mosaic virus RNA1, complete sequence-table6-Hepeviridae-HMM1758-2040_12.0-ORF71
seq2	>ref-NC_003514.1 Beet necrotic yellow vein virus RNA 1, complete sequence-table6-Hepeviridae-HMM1750-2032_12.0-ORF70
seq3	>ref-NC_001434.1 Hepatitis E virus, complete genome-table4-Hepeviridae-HMM1259-1685_23.0-ORF49
seq4	>ref-NC_015521.1 Cutthroat trout virus, complete genome-table6-Hepeviridae-HMM1307-1740_24.0-ORF46
seq5	>ref-NC_018382.1 Orthohepevirus D isolate BatHEV/BS7/GE/2009, complete genome-table6-Hepeviridae-HMM1164-1590_18.0-ORF76
seq6	>ref-NC_023425.1 Orthohepevirus B, complete genome-table4-Hepeviridae-HMM1107-1535_26.0-ORF45
seq7	>ref-NC_032117.1 Bivalve hepelivirus G, partial genome-table4-Hepeviridae-HMM29-292_76.0-ORF62
seq8	>ref-NC_032127.1 Beihai hepe-like virus 4 strain BHZY60842 replicase and hypothetical protein genes, complete cds-table4-Hepeviridae-HMM236-618_59.0-ORF76
seq9	>ref-NC_032456.1 Beihai hepe-like virus 8 strain BHZY60925 replicase, hypothetical protein, and putative structural protein genes, complete cds-table6-Hepeviridae-HMM1532-1912_19.0-ORF62
seq10	>ref-NC_032445.1 Beihai mantis shrimp virus 1 strain BHXG26050 hypothetical protein genes, complete cds-table6-Hepeviridae-HMM2044-2322_11.0-ORF74
seq11	>ref-NC_032451.1 Beihai hepe-like virus 10 strain BHZY60406 replicase, hypothetical protein, putative structural protein, and hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1976-2353_14.0-ORF66
seq12	>ref-NC_032784.1 Wenzhou shrimp virus 3 strain shrimp12824 replicase, hypothetical protein, putative structural protein, and hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1944-2214_11.0-ORF69
seq13	>ref-NC_033184.1 Wenzhou hepe-like virus 1 strain WZSLuoII97618 hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1770-2038_12.0-ORF75
seq14	>ref-NC_033146.1 Shuangao alphatetra-like virus 1 strain insectZJ93971 replicase, putative structural protein, and hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1022-1326_17.0-ORF56
seq15	>ref-NC_033147.1 Wenzhou hepe-like virus 2 strain WZFSL85851 replicase and putative structural protein genes, complete cds-table6-Hepeviridae-HMM1381-1801_22.0-ORF60
seq16	>ref-NC_033098.1 Wenling hepe-like virus 4 strain WLJQ102701 RdRp, hypothetical protein, putative structural protein, and hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1357-1722_15.0-ORF73
seq17	>ref-NC_033032.1 Hubei hepe-like virus 3 strain WHYY20710 replicase, putative capsid protein, and hypothetical protein genes, complete cds-table6-Hepeviridae-HMM1009-1345_14.0-ORF63
seq18	>nrnt-KX883839 Beihai hepe-like virus 4 strain YYSZX17852 hypothetical protein genes, complete cds.-table6-Hepeviridae-HMM205-586_61.0-ORF63
seq19	>nrnt-KX883789 Hubei Beny-like virus 1 strain SCM50761 hypothetical protein gene, complete cds.-table6-Hepeviridae-HMM1092-1373_19.0-ORF44
seq20	>nrnt-KX883756 Beihai hepe-like virus 4 strain BHZY60303 hypothetical protein genes, complete cds.-table6-Hepeviridae-HMM25-407_87.0-ORF14
seq21	>nrnt-KX883743 Beihai hepe-like virus 7 strain BHBJDX18438 hypothetical protein genes, complete cds.-table6-Hepeviridae-HMM1873-2142_10.0-ORF82
seq22	>nrnt-KM048322 Tick borne tetravirus-like virus isolate FI10 polyprotein gene, partial cds.-table6-Hepeviridae-HMM1013-1319_17.0-ORF46
