seq1	>ref-NC_001641.1 Saccharomyces cerevisiae virus L-BC (La), complete genome-table4-Totiviridae-HMM191-663_53.0-ORF55
seq2	>ref-NC_002064.1 Leishmania RNA virus 2 - 1, complete genome-table6-Totiviridae-HMM909-1372_28.0-ORF49
seq3	>ref-NC_002063.1 Leishmania RNA virus 1 - 1, complete genome-table4-Totiviridae-HMM281-633_39.0-ORF61
seq4	>ref-NC_001964.1 Sphaeropsis sapinea RNA virus 2, complete genome-table6-Totiviridae-HMM177-586_48.0-ORF46
seq5	>ref-NC_002701.1 Eimeria brunetti RNA virus 1, complete genome-table4-Totiviridae-HMM250-633_42.0-ORF59
seq6	>ref-NC_001963.1 Sphaeropsis sapinea RNA virus 1, complete genome-table6-Totiviridae-HMM261-636_41.0-ORF45
seq7	>ref-NC_003873.1 Trichomonas vaginalis virus II, complete genome-table4-Totiviridae-HMM283-710_46.0-ORF43
seq8	>ref-NC_003823.1 Ustilago maydis virus H1, complete genome-table6-Totiviridae-HMM1157-1562_21.0-ORF54
seq9	>ref-NC_003876.1 Gremmeniella abietina RNA virus L1, complete genome-table4-Totiviridae-HMM248-656_44.0-ORF50
seq10	>ref-NC_004034.1 Trichomonas vaginalis virus 3, complete genome-table4-Totiviridae-HMM132-561_52.0-ORF48
seq11	>ref-NC_003607.2 Helminthosporium victoriae virus 190S, complete genome-table4-Totiviridae-HMM282-655_41.0-ORF43
seq12	>ref-NC_003745.1 Saccharomyces cerevisiae virus L-A (L1), complete genome-table6-Totiviridae-HMM201-683_53.0-ORF55
seq13	>ref-NC_003824.1 Trichomonas vaginalis virus, complete genome-table6-Totiviridae-HMM129-568_54.0-ORF37
seq14	>ref-NC_003601.1 Leishmania RNA virus 1 - 4, complete genome-table6-Totiviridae-HMM311-663_37.0-ORF60
seq15	>ref-NC_006367.1 Magnaporthe oryzae virus 1, complete genome-table6-Totiviridae-HMM274-630_39.0-ORF49
seq16	>ref-NC_005965.1 Gremmeniella abietina RNA virus L2, complete genome-table4-Totiviridae-HMM228-636_45.0-ORF47
seq17	>ref-NC_005883.1 Chalara elegans RNA Virus 1, complete genome-table6-Totiviridae-HMM278-736_45.0-ORF46
seq18	>ref-NC_007523.1 Coniothyrium minitans RNA virus, complete genome-table4-Totiviridae-HMM321-787_44.0-ORF37
seq19	>ref-NC_009890.1 Black raspberry virus F, complete genome-table6-Totiviridae-HMM225-699_50.0-ORF55
seq20	>ref-NC_009224.1 Botryotinia fuckeliana totivirus 1, complete genome-table6-Totiviridae-HMM161-617_50.0-ORF52
seq21	>ref-NC_010246.1 Magnaporthe oryzae virus 2, complete genome-table6-Totiviridae-HMM150-614_52.0-ORF49
seq22	>ref-NC_014823.1 Tolypocladium cylindrosporum virus 1, complete genome-table6-Totiviridae-HMM1102-1456_20.0-ORF41
seq23	>ref-NC_013699.1 Diplodia scrobiculata RNA virus 1, complete genome-table6-Totiviridae-HMM343-672_26.0-ORF37
seq24	>ref-NC_014359.1 Spissistilus festinus virus 1, complete genome-table4-Totiviridae-HMM758-1071_21.0-ORF77
seq25	>ref-NC_020903.1 Xanthophyllomyces dendrorhous virus L1A capsid protein (CP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds-table6-Totiviridae-HMM315-787_47.0-ORF53
seq26	>ref-NC_020997.1 Ustilaginoidea virens RNA virus 1, complete genome-table4-Totiviridae-HMM328-702_39.0-ORF45
seq27	>ref-NC_021565.1 Rosellinia necatrix victorivirus 1 RNA, complete genome, isolate: W1029-table4-Totiviridae-HMM320-676_38.0-ORF31
seq28	>ref-NC_023547.1 Ustilaginoidea virens RNA virus 3, complete genome-table4-Totiviridae-HMM183-599_47.0-ORF49
seq29	>ref-NC_024115.1 Leishmania aethiopica RNA virus isolate LRV2-Lae-L494, complete genome-table4-Totiviridae-HMM266-678_43.0-ORF67
seq30	>ref-NC_023983.1 Persimmon latent virus genomic RNA, complete genome, clone: Kaki13-14-table6-Totiviridae-HMM727-1034_21.0-ORF75
seq31	>ref-NC_024151.1 Beauveria bassiana victorivirus NZL/1980 isolate 6887, complete genome-table6-Totiviridae-HMM242-620_42.0-ORF49
seq32	>ref-NC_025214.1 Botryosphaeria dothidea victorivirus 1 isolate GY25, complete genome-table4-Totiviridae-HMM383-791_39.0-ORF32
seq33	>ref-NC_025366.1 Ustilaginoidea virens RNA virus L isolate GX-1, complete genome-table4-Totiviridae-HMM324-698_39.0-ORF51
seq34	>ref-NC_026140.1 Eimeria tenella RNA virus 1 strain JL610V coat protein (EtRv1gp1) and RNA-dependent RNA polymerase (RDRP) genes, complete cds-table6-Totiviridae-HMM482-879_34.0-ORF57
seq35	>ref-NC_026135.1 Phomopsis vexans RNA virus isolate 1, complete genome-table4-Totiviridae-HMM249-632_43.0-ORF30
seq36	>ref-NC_027209.1 Magnaporthe oryzae virus 3 strain QSP5, complete genome-table4-Totiviridae-HMM505-968_37.0-ORF37
seq37	>ref-NC_027701.1 Trichomonas vaginalis virus 1 strain TVV1-UR1-1, complete genome-table6-Totiviridae-HMM142-581_53.0-ORF38
seq38	>ref-NC_028044.1 Maize-associated totivirus 1, complete genome-table4-Totiviridae-HMM226-699_51.0-ORF42
seq39	>ref-NC_028378.1 Papaya meleira virus strain RN Brazil, complete genome-table6-Totiviridae-HMM405-754_28.0-ORF88
seq40	>ref-NC_028488.1 Red clover powdery mildew-associated totivirus 7 genomic RNA, complete genome, isolate: RPaTV7_75-7-table4-Totiviridae-HMM243-652_47.0-ORF53
seq41	>ref-NC_028481.1 Red clover powdery mildew-associated totivirus 2 CP, RdRp genes for capsid protein, RNA dependent RNA polymerase, complete cds, isolate: RPaTV2_75-52-table6-Totiviridae-HMM224-693_51.0-ORF49
seq42	>ref-NC_028490.1 Red clover powdery mildew-associated totivirus 9 gene for polyprotein, complete cds, isolate: RPaTV9_85-21-table6-Totiviridae-HMM1369-1748_19.0-ORF46
seq43	>ref-NC_028483.1 Red clover powdery mildew-associated totivirus 3 genomic RNA, complete genome, isolate: RPaTV3_75-77-table6-Totiviridae-HMM289-748_48.0-ORF41
seq44	>ref-NC_028486.1 Red clover powdery mildew-associated totivirus 6 genomic RNA, complete genome, isolate: RPaTV6_75-22-table4-Totiviridae-HMM267-678_45.0-ORF52
seq45	>ref-NC_028480.1 Red clover powdery mildew-associated totivirus 1 genomic RNA, complete genome, isolate: RPaTV1a_65-114-table6-Totiviridae-HMM191-665_53.0-ORF50
seq46	>ref-NC_028485.1 Red clover powdery mildew-associated totivirus 5 genomic RNA, complete genome, isolate: RPaTV5_75-14-table6-Totiviridae-HMM199-676_52.0-ORF59
seq47	>ref-NC_028477.1 Ustilaginoidea virens RNA virus 5 strain F10-338 coat protein (CP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds-table6-Totiviridae-HMM258-624_41.0-ORF50
seq48	>ref-NC_028948.1 Penicillium aurantiogriseum totivirus 1 isolate MUT4330, complete genome-table6-Totiviridae-HMM219-596_42.0-ORF46
seq49	>ref-NC_029096.1 Panax notoginseng virus A isolate YNSL1210, complete genome-table4-Totiviridae-HMM229-697_51.0-ORF61
seq50	>ref-NC_029989.1 Penicillium digitatum virus 1 strain HS-RH1, complete genome-table4-Totiviridae-HMM211-589_45.0-ORF49
seq51	>ref-NC_030224.1 Nigrospora oryzae victorivirus 1, complete genome-table6-Totiviridae-HMM189-588_46.0-ORF52
seq52	>ref-NC_030398.1 Maize associated totivirus isolate EC_Portoviejo, complete genome-table4-Totiviridae-HMM232-704_51.0-ORF51
seq53	>ref-NC_030392.1 Sclerotinia nivalis victorivirus 1 isolate SsSn-1.v, complete genome-table6-Totiviridae-HMM226-604_42.0-ORF43
seq54	>ref-NC_030867.1 Fusarium poae victorivirus 1 genomic RNA, complete genome-table4-Totiviridae-HMM188-585_47.0-ORF39
seq55	>ref-NC_032106.1 Saccharomyces kudriavzevii virus L-A1 isolate 1, complete genome-table6-Totiviridae-HMM185-667_54.0-ORF52
seq56	>ref-NC_032465.1 Beihai blue swimmer crab virus 3 strain YYSZX17757 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM308-770_46.0-ORF49
seq57	>ref-NC_032734.1 Hubei toti-like virus 2 strain arthropodmix13450 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM245-713_50.0-ORF55
seq58	>ref-NC_032786.1 Beihai victori-like virus 1 strain BHZC37363 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Totiviridae-HMM256-698_44.0-ORF51
seq59	>ref-NC_032883.1 Hubei toti-like virus 9 strain QTM27092 hypothetical protein gene, complete cds-table6-Totiviridae-HMM311-676_34.0-ORF43
seq60	>ref-NC_032733.1 Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM316-699_36.0-ORF68
seq61	>ref-NC_033465.1 Wuhan insect virus 26 strain WHZM10161 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM235-693_50.0-ORF47
seq62	>ref-NC_033468.1 Wuhan insect virus 27 strain WHZM10130 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM263-721_49.0-ORF44
seq63	>ref-NC_033466.1 Wuhan insect virus 28 strain WHZM10169 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Totiviridae-HMM328-636_31.0-ORF80
seq64	>ref-NC_035130.1 Aedes alboannulatus toti-like virus 1 strain mosWSCP114121, complete genome-table4-Totiviridae-HMM397-710_29.0-ORF67
seq65	>ref-NC_035131.1 Aedes camptorhynchus toti-like virus 1 strain mos172CP87493, complete genome-table4-Totiviridae-HMM397-710_29.0-ORF68
seq66	>ref-NC_036589.1 (REVERSE SENSE) Maize-associated totivirus 3 isolate ANETF3S2 gag-pol-like fusion protein, RNA-dependent RNA polymerase, and coat protein genes, complete cds-table4-Totiviridae-HMM207-680_52.0-ORF113
seq67	>nrnt-MF372915 (REVERSE SENSE) Maize associated totivirus 1 isolate SSF3 ORF1-ORF2 fusion protein gene, partial cds.-table4-Totiviridae-HMM312-783_46.0-ORF74
seq68	>nrnt-MF893257 Snodland virus isolate UK1, partial genome.-table1-Totiviridae-HMM34-493_85.0-ORF19
seq69	>nrnt-LC333739 Rosellinia necatrix fusagravirus 3 genes for putative structural protein, RNA-dependent RNA polymerase, complete cds, contig: Pool-2_106.-table6-Totiviridae-HMM564-711_11.0-ORF75
seq70	>nrnt-KU724434 Leishmania RNA virus 1 isolate Lg601047, complete genome.-table6-Totiviridae-HMM273-625_39.0-ORF58
seq71	>nrnt-KY207365 Puccinia striiformis totivirus 5 isolate CYR32 putative capsid protein (CP) gene, complete cds; and putative RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Totiviridae-HMM214-678_57.0-ORF55
seq72	>nrnt-KY207364 Puccinia striiformis totivirus 4 isolate CYR32 putative capsid protein (CP) gene, complete cds; and putative RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Totiviridae-HMM192-652_53.0-ORF51
seq73	>nrnt-KY207363 Puccinia striiformis totivirus 3 isolate CYR32 putative capsid protein (CP) gene, complete cds; and putative RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table6-Totiviridae-HMM201-660_50.0-ORF55
seq74	>nrnt-KY207362 Puccinia striiformis totivirus 2 isolate CYR32 putative capsid protein (CP) gene, complete cds; and putative RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table6-Totiviridae-HMM225-646_48.0-ORF62
seq75	>nrnt-KY207361 Puccinia striiformis totivirus 1 isolate CYR32 putative capsid protein (CP) gene, complete cds; and putative RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table6-Totiviridae-HMM190-649_51.0-ORF56
seq76	>nrnt-KY489970 Saccharomyces kudriavzevii virus L-A-1082 gag-pol fusion protein and major virion coat protein genes, complete cds.-table6-Totiviridae-HMM251-733_50.0-ORF43
seq77	>nrnt-KY489963 Saccharomyces paradoxus virus L-A-45 gag-pol fusion protein and major virion coat protein genes, complete cds.-table6-Totiviridae-HMM185-667_54.0-ORF45
seq78	>nrnt-KU291928 Pterostylis sanguinea totivirus A isolate Murdoch-10 coat protein and RNA-dependent RNA polymerase genes, partial cds.-table6-Totiviridae-HMM236-558_57.0-ORF38
seq79	>nrnt-KU291927 Pterostylis sanguinea totivirus A isolate Murdoch-8 coat protein and RNA-dependent RNA polymerase genes, partial cds.-table4-Totiviridae-HMM248-720_52.0-ORF49
seq80	>nrnt-KU291926 Pterostylis sanguinea totivirus A isolate Murdohc-9 coat protein and RNA-dependent RNA polymerase genes, partial cds.-table6-Totiviridae-HMM279-747_50.0-ORF43
seq81	>nrnt-KX171636 Ustilaginoidea virens RNA virus 6, complete genome.-table4-Totiviridae-HMM309-691_40.0-ORF43
seq82	>nrnt-KX808486 Leishmania RNA virus 1 strain LRV1-LbrLEM3874, complete genome.-table6-Totiviridae-HMM272-625_39.0-ORF64
seq83	>nrnt-KU885932 Sclerotium rolfsii RNA virus 1 isolate BLH-1 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table6-Totiviridae-HMM19-341_34.0-ORF29
seq84	>nrnt-LC075493 Red clover powdery mildew-associated totivirus 8 CP, RdRp genes for capsid protein, RNA dependent RNA polymerase, complete and partial cds, isolate: RPaTV8_85-65.-table4-Totiviridae-HMM200-659_51.0-ORF59
seq85	>nrnt-LC075489 Red clover powdery mildew-associated totivirus 4 CP, RdRp genes for capsid protein, RNA dependent RNA polymerase, complete and partial cds, isolate: RPaTV4_6052.-table6-Totiviridae-HMM288-746_50.0-ORF43
seq86	>nrnt-KX148560 DsRNA virus-like 3 genomic sequence.-table6-Totiviridae-HMM37-396_90.0-ORF16
seq87	>nrnt-KU597305 Eimeria stiedai RNA virus 1 isolate TQCBD-12/0909, complete genome.-table6-Totiviridae-HMM610-982_28.0-ORF53
seq88	>nrnt-EU495331 Ribes virus F isolate Corvallis RNA-dependent RNA polymerase gene, partial cds.-table1-Totiviridae-HMM3-322_91.0-ORF10
seq89	>nrnt-EU289895 Aspergillus mycovirus 178 clone 178b putative RNA-dependent RNA polymerase gene, partial cds.-table6-Totiviridae-HMM61-525_59.0-ORF30
seq90	>nrnt-KT921784 Papaya meleira virus coat protein and RNA-dependent RNA polymerase (RdRp) genes, complete cds.-table6-Totiviridae-HMM419-772_29.0-ORF87
seq91	>nrnt-KT598236 Soybean-associated double-stranded RNA virus 1 isolate SaDSRV1-1, partial sequence.-table4-Totiviridae-HMM328-676_37.0-ORF23
seq92	>nrnt-KT598230 Coniothyrium minitans RNA virus isolate CmRV-IL, partial sequence.-table4-Totiviridae-HMM353-741_39.0-ORF37
seq93	>nrnt-KP900901 Phomopsis longicolla totivirus 1 isolate Phom Fam 600B gp1 gene, partial cds; and RNA-dependent RNA polymerase gene, complete cds.-table4-Totiviridae-HMM530-894_31.0-ORF27
seq94	>nrnt-AP014919 Diatom colony associated virus-Like RNA Segment 6 genomic RNA, complete sequence.-table6-Totiviridae-HMM356-775_39.0-ORF38
seq95	>nrnt-AP014917 Diatom colony associated virus-Like RNA Segment 4 genomic RNA, complete sequence.-table6-Totiviridae-HMM340-698_36.0-ORF40
seq96	>nrnt-AP014905 Diatom colony associated dsRNA virus 13 genomic RNA, complete genome.-table6-Totiviridae-HMM143-591_53.0-ORF53
seq97	>nrnt-AP014904 Diatom colony associated dsRNA virus 12 genomic RNA, complete genome.-table6-Totiviridae-HMM261-642_41.0-ORF66
seq98	>nrnt-AP014903 Diatom colony associated dsRNA virus 11 genomic RNA, complete genome.-table6-Totiviridae-HMM211-611_43.0-ORF70
