seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq2	>ref-NC_003470.1 Atkinsonella hypoxylon partitivirus RNA 1, complete sequence-table4-Partitiviridae-HMM112-389_40.0-ORF24
seq3	>ref-NC_003710.1 Discula destructiva virus 2 segment 1, complete genome-table6-Partitiviridae-HMM81-506_74.0-ORF18
seq4	>ref-NC_003885.1 Mycovirus FusoV RNA 1, complete sequence-table6-Partitiviridae-HMM56-477_76.0-ORF19
seq5	>ref-NC_003801.1 Rhizoctonia solani virus 717 RNA1, complete genome-table6-Partitiviridae-HMM194-661_59.0-ORF24
seq6	>ref-NC_003874.1 Zygosaccharomyces bailii virus Z, complete genome-table6-Partitiviridae-HMM248-341_13.0-ORF32
seq7	>ref-NC_003884.1 Fusarium poae virus 1 RNA2 putative RNA dependent RNA polymerase gene, complete cds-table4-Partitiviridae-HMM142-620_67.0-ORF23
seq8	>ref-NC_004018.1 Gremmeniella abietina RNA virus MS1 RNA 1, complete genome-table6-Partitiviridae-HMM91-517_73.0-ORF17
seq9	>ref-NC_006441.1 Amasya cherry disease-associated mycovirus, complete genome-table6-Partitiviridae-HMM206-585_57.0-ORF17
seq10	>ref-NC_006275.1 White clover cryptic virus 1 RNA1, complete genome-table6-Partitiviridae-HMM198-580_58.0-ORF21
seq11	>ref-NC_005976.2 Penicillium stoloniferum virus S segment 1, complete genome-table6-Partitiviridae-HMM165-492_58.0-ORF20
seq12	>ref-NC_006961.1 Pleurotus ostreatus virus 1 RNA-1, complete genome-table6-Partitiviridae-HMM162-640_64.0-ORF21
seq13	>ref-NC_007537.1 Rosellinia necatrix partitivirus 1-W8 segment 1, complete genome-table4-Partitiviridae-HMM140-618_64.0-ORF18
seq14	>ref-NC_007221.1 Penicillium stoloniferum virus F segment 1, complete genome-table6-Partitiviridae-HMM154-488_59.0-ORF13
seq15	>ref-NC_007241.1 Vicia cryptic virus RNA1, complete sequence-table6-Partitiviridae-HMM202-586_57.0-ORF15
seq16	>ref-NC_008191.1 Raphanus sativus cryptic virus 1 dsRNA 1, complete sequence-table6-Partitiviridae-HMM70-525_74.0-ORF16
seq17	>ref-NC_010343.1 Raphanus sativus cryptic virus 2 segment 1, complete sequence-table6-Partitiviridae-HMM163-478_57.0-ORF21
seq18	>ref-NC_010705.1 Ceratocystis polonica partitivirus segment 1, complete genome-table4-Partitiviridae-HMM120-401_41.0-ORF24
seq19	>ref-NC_009519.1 Fragaria chiloensis cryptic virus RNA 1, complete genome-table6-Partitiviridae-HMM192-505_54.0-ORF17
seq20	>ref-NC_010349.1 Botryotinia fuckeliana partitivirus 1, complete segment 1, genomic RNA-table6-Partitiviridae-HMM186-517_56.0-ORF14
seq21	>ref-NC_010755.1 Ceratocystis resinifera partitivirus RNA 1, complete sequence-table6-Partitiviridae-HMM120-401_41.0-ORF19
seq22	>ref-NC_010346.1 Rose cryptic virus 1 RNA 1, complete sequence-table6-Partitiviridae-HMM95-500_69.0-ORF14
seq23	>ref-NC_011705.1 Raphanus sativus cryptic virus 3 segment 1, complete genome-table6-Partitiviridae-HMM76-494_77.0-ORF18
seq24	>ref-NC_011556.1 Beet cryptic virus 1 RNA 1, complete genome-table6-Partitiviridae-HMM195-587_58.0-ORF15
seq25	>ref-NC_013014.1 Sclerotinia sclerotiorum partitivirus S segment 1, complete genome-table4-Partitiviridae-HMM71-525_73.0-ORF21
seq26	>ref-NC_013109.1 Primula malacoides virus China/Mar2007 RNA 1, complete genome-table6-Partitiviridae-HMM175-664_61.0-ORF22
seq27	>ref-NC_015494.1 Fig cryptic virus segment 1, complete genome-table4-Partitiviridae-HMM51-467_77.0-ORF23
seq28	>ref-NC_017989.1 Persimmon cryptic virus segment 1, isolate SSPI, complete genome-table6-Partitiviridae-HMM63-479_81.0-ORF14
seq29	>ref-NC_021096.1 Red clover cryptic virus 2 isolate IPP_Nemaro segment RNA 1, complete sequence-table6-Partitiviridae-HMM191-679_62.0-ORF21
seq30	>ref-NC_021098.1 Hop trefoil cryptic virus 2 isolate IPP_GelbSK segment RNA 1, complete sequence-table6-Partitiviridae-HMM193-681_62.0-ORF22
seq31	>ref-NC_021094.1 White clover cryptic virus 2 isolate IPP_Lirepa segment RNA 1, complete sequence-table6-Partitiviridae-HMM195-681_62.0-ORF20
seq32	>ref-NC_021873.1 Ustilaginoidea virens partitivirus 2 isolate Uv0901 segment 1, complete sequence-table6-Partitiviridae-HMM167-492_57.0-ORF16
seq33	>ref-NC_021147.1 Dill cryptic virus 2 isolate IPP_hortorum segment RNA 1, complete sequence-table6-Partitiviridae-HMM190-676_62.0-ORF23
seq34	>ref-NC_022616.1 Red clover cryptic virus 1 isolate IPP_Nemaro segment 1 RNA-dependent RNA polymerase gene, complete cds-table6-Partitiviridae-HMM63-567_78.0-ORF21
seq35	>ref-NC_022614.1 Dill cryptic virus 1 isolate IPP_hortorum segment 1, complete sequence-table6-Partitiviridae-HMM204-586_57.0-ORF19
seq36	>ref-NC_023684.1 Rhizoctonia solani dsRNA virus 2 segment 1, complete sequence-table4-Partitiviridae-HMM195-590_58.0-ORF18
seq37	>ref-NC_024703.1 Alternaria longipes dsRNA virus 1 strain HN28, complete genome-table4-Partitiviridae-HMM428-612_25.0-ORF27
seq38	>ref-NC_026799.1 Black grass cryptic virus 2 segment RNA 1-table4-Partitiviridae-HMM85-551_74.0-ORF19
seq39	>ref-NC_027428.1 Beauveria bassiana RNA virus 1, complete genome-table4-Partitiviridae-HMM361-605_35.0-ORF35
seq40	>ref-NC_027427.1 Ustilaginoidea virens unassigned RNA virus HNND-1, complete genome-table6-Partitiviridae-HMM351-536_29.0-ORF26
seq41	>ref-NC_027822.1 Verticillium dahliae partitivirus 1 isolate Vd-253 segment RNA1, complete sequence-table6-Partitiviridae-HMM185-516_59.0-ORF16
seq42	>ref-NC_020234.1 Rosellinia necatrix partitivirus 2 RdRp gene for RNA-dependent RNA polymerase, complete cds-table6-Partitiviridae-HMM179-567_58.0-ORF23
seq43	>ref-NC_028242.1 Colletotrichum higginsianum non-segmented dsRNA virus 1, complete sequence-table4-Partitiviridae-HMM585-770_21.0-ORF28
seq44	>ref-NC_028251.1 Rosellinia necatrix partitivirus 6 RdRp gene for RNA dependent RNA polymerase, complete cds, strain: W113-table6-Partitiviridae-HMM201-685_59.0-ORF19
seq45	>ref-NC_028469.1 Penicillium aurantiogriseum partiti-like virus 66 kDa protein gene, complete cds-table6-Partitiviridae-HMM175-466_48.0-ORF18
seq46	>ref-NC_028499.1 Penicillium aurantiogriseum partitivirus 1 RNA 1, complete sequence-table6-Partitiviridae-HMM87-514_74.0-ORF15
seq47	>ref-NC_030243.1 Sinapis alba cryptic virus 1 isolate LTBJ RNA dependent RNA polymerase gene, complete cds-table6-Partitiviridae-HMM63-477_80.0-ORF15
