seq1	>ref-NC_003509.1 Blackcurrant reversion virus RNA1, complete sequence-table6-Secoviridae-HMM1460-1908_20.0-ORF67
seq2	>ref-NC_003445.1 Strawberry mottle virus RNA1 gene for polyprotein, genomic RNA-table6-Secoviridae-HMM1291-1780_24.0-ORF69
seq3	>ref-NC_004439.1 Tomato black ring virus RNA 1, complete sequence-table6-Secoviridae-HMM1461-1973_22.0-ORF74
seq4	>ref-NC_005289.1 Broad bean wilt virus 1 RNA 1, complete sequence-table6-Secoviridae-HMM1227-1722_25.0-ORF54
seq5	>ref-NC_005266.1 Raspberry ringspot virus RNA1, complete genome-table6-Secoviridae-HMM1702-2090_15.0-ORF76
seq6	>ref-NC_006057.1 Arabis mosaic virus RNA 1, complete sequence-table6-Secoviridae-HMM1503-1986_20.0-ORF79
seq7	>ref-NC_005097.1 Tobacco ringspot virus RNA 1, complete sequence-table6-Secoviridae-HMM1522-2021_20.0-ORF75
seq8	>ref-NC_006964.1 Strawberry latent ringspot virus RNA1, complete sequence-table6-Secoviridae-HMM1602-2062_20.0-ORF74
seq9	>ref-NC_006271.1 Cherry rasp leaf virus, complete genome-table4-Secoviridae-HMM1608-2108_21.0-ORF78
seq10	>ref-NC_003615.1 Grapevine fanleaf virus RNA 1, complete sequence-table6-Secoviridae-HMM1555-2030_19.0-ORF71
seq11	>ref-NC_003549.1 Cowpea mosaic virus RNA 1, complete sequence-table6-Secoviridae-HMM1189-1671_25.0-ORF64
seq12	>ref-NC_003693.1 Beet ringspot virus RNA 1, complete sequence-table4-Secoviridae-HMM1471-1982_22.0-ORF75
seq13	>ref-NC_003741.1 Red clover mottle virus RNA 1, complete sequence-table6-Secoviridae-HMM1231-1730_25.0-ORF68
seq14	>ref-NC_003840.1 Tomato ringspot virus RNA 1, complete sequence-table6-Secoviridae-HMM1565-2017_19.0-ORF69
seq15	>ref-NC_001632.1 Rice tungro spherical virus, complete genome-table6-Secoviridae-HMM3051-3531_13.0-ORF126
seq16	>ref-NC_003791.1 Cycas necrotic stunt virus RNA 1, complete sequence-table6-Secoviridae-HMM1521-2038_21.0-ORF83
seq17	>ref-NC_003785.2 Satsuma dwarf virus RNA 1, complete sequence-table6-Secoviridae-HMM1540-2012_20.0-ORF61
seq18	>ref-NC_003545.1 Cowpea severe mosaic virus RNA 1, complete sequence-table6-Secoviridae-HMM1239-1732_25.0-ORF61
seq19	>ref-NC_003626.1 Maize chlorotic dwarf virus, complete genome-table6-Secoviridae-HMM2883-3373_13.0-ORF121
seq20	>ref-NC_003787.1 Apple latent spherical virus segment 1, complete sequence-table6-Secoviridae-HMM1451-1940_22.0-ORF66
seq21	>ref-NC_003003.1 Broad bean wilt virus 2 RNA 1, complete sequence-table4-Secoviridae-HMM1240-1720_24.0-ORF66
seq22	>ref-NC_003799.1 Squash mosaic virus RNA 1, complete sequence-table6-Secoviridae-HMM1170-1666_26.0-ORF69
seq23	>ref-NC_003622.1 Grapevine chrome mosaic virus RNA 1, complete sequence-table6-Secoviridae-HMM1511-2027_22.0-ORF65
