seq1	>ref-NC_003790.1 Chicken astrovirus, complete genome-table4-Astroviridae-HMM53-511_86.0-ORF53
seq2	>ref-NC_004579.1 Mink astrovirus, complete genome-table4-Astroviridae-HMM72-539_35.0-ORF57
seq3	>ref-NC_002469.1 Ovine astrovirus, complete genome-table6-Astroviridae-HMM76-547_85.0-ORF42
seq4	>ref-NC_005790.1 Turkey astrovirus 2, complete genome-table4-Astroviridae-HMM75-537_35.0-ORF77
seq5	>ref-NC_002470.1 Turkey astrovirus, complete genome-table4-Astroviridae-HMM77-535_37.0-ORF78
seq6	>ref-NC_001943.1 Human astrovirus, complete genome-table6-Astroviridae-HMM66-526_85.0-ORF46
seq7	>ref-NC_011400.1 Astrovirus MLB1, complete genome-table6-Astroviridae-HMM51-507_77.0-ORF35
seq8	>ref-NC_012437.1 Duck astrovirus C-NGB, complete genome-table6-Astroviridae-HMM66-530_74.0-ORF60
seq9	>ref-NC_013443.1 HMO Astrovirus A, complete genome-table6-Astroviridae-HMM78-548_77.0-ORF44
seq10	>ref-NC_013060.1 Astrovirus VA1, complete genome-table6-Astroviridae-HMM78-548_76.0-ORF38
seq11	>ref-NC_015935.1 Mouse astrovirus M-52/USA/2008, complete genome-table6-Astroviridae-HMM90-556_82.0-ORF38
seq12	>ref-NC_016155.1 Astrovirus MLB2, complete genome-table6-Astroviridae-HMM51-507_77.0-ORF39
seq13	>ref-NC_016896.1 Astrovirus wild boar/WBAstV-1/2011/HUN, complete genome-table6-Astroviridae-HMM81-536_72.0-ORF35
seq14	>ref-NC_019027.1 Astrovirus VA4 isolate VA4/human/Nepal/s5363, complete genome-table6-Astroviridae-HMM78-548_77.0-ORF43
seq15	>ref-NC_019028.1 Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004, complete genome-table6-Astroviridae-HMM51-507_77.0-ORF35
seq16	>ref-NC_018702.1 Murine astrovirus, complete genome-table6-Astroviridae-HMM78-532_76.0-ORF40
seq17	>ref-NC_019026.1 Astrovirus VA3 isolate VA3/human/Vellore/28054/2005, complete genome-table6-Astroviridae-HMM78-548_77.0-ORF43
seq18	>ref-NC_019494.1 Porcine astrovirus 3 isolate US-MO123, complete genome-table6-Astroviridae-HMM81-551_84.0-ORF44
seq19	>ref-NC_022249.1 Feline astrovirus 2 strain 1637F, complete genome-table6-Astroviridae-HMM63-523_73.0-ORF44
seq20	>ref-NC_023630.1 Bovine astrovirus B76-2/HK, complete genome-table6-Astroviridae-HMM96-548_70.0-ORF33
seq21	>ref-NC_023674.1 Porcine astrovirus 2 strain 43/USA, complete genome-table6-Astroviridae-HMM98-550_70.0-ORF35
seq22	>ref-NC_023631.1 Bovine astrovirus B18/HK, complete genome-table6-Astroviridae-HMM96-548_70.0-ORF37
seq23	>ref-NC_023636.1 Porcine astrovirus 5 isolate AstV5-US-IA122, complete genome-table6-Astroviridae-HMM83-533_74.0-ORF36
seq24	>ref-NC_023675.1 Porcine astrovirus 4 strain 35/USA, complete genome-table6-Astroviridae-HMM52-506_75.0-ORF35
seq25	>ref-NC_023629.1 Bovine astrovirus B76/HK, complete genome-table6-Astroviridae-HMM96-548_58.0-ORF40
seq26	>ref-NC_023632.1 Bovine astrovirus B170/HK, complete genome-table6-Astroviridae-HMM96-548_62.0-ORF38
seq27	>ref-NC_024701.1 Feline astrovirus D1 isolate FAstV-D1, complete genome-table6-Astroviridae-HMM85-552_71.0-ORF41
seq28	>ref-NC_024498.1 Bovine astrovirus CH13, complete genome-table4-Astroviridae-HMM82-556_83.0-ORF43
seq29	>ref-NC_024297.1 Bovine astrovirus strain BAstV-GX7/CHN/2014, complete genome-table6-Astroviridae-HMM96-548_70.0-ORF33
seq30	>ref-NC_024472.1 Human astrovirus BF34, complete genome-table6-Astroviridae-HMM76-546_76.0-ORF43
seq31	>ref-NC_025346.1 Rabbit astrovirus TN/2208/2010, complete genome-table6-Astroviridae-HMM80-540_77.0-ORF43
seq32	>ref-NC_025379.1 Mamastrovirus 3 isolate PAstV-GX1, complete genome-table6-Astroviridae-HMM954-1414_31.0-ORF42
seq33	>ref-NC_026814.1 Canine astrovirus strain Gillingham/2012/UK, complete genome-table6-Astroviridae-HMM67-527_85.0-ORF36
seq34	>ref-NC_027426.1 Astrovirus Er/SZAL6/HUN/2011, complete genome-table6-Astroviridae-HMM81-539_63.0-ORF41
seq35	>ref-NC_027711.1 Dromedary astrovirus isolate DcAstV-274, complete genome-table6-Astroviridae-HMM70-522_73.0-ORF38
seq36	>ref-NC_030922.1 Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347-table6-Astroviridae-HMM967-1427_31.0-ORF46
seq37	>ref-NC_032439.1 Beihai astro-like virus strain BHWZXX13371 putative protease, RNA-dependent RNA polymerase, and putative capsid genes, complete cds-table6-Astroviridae-HMM69-469_76.0-ORF44
seq38	>ref-NC_032893.1 Changjiang astro-like virus strain CJLX30757 putative protease, hypothetical protein, RNA-dependent RNA polymerase, and putative capsid protein genes, complete cds-table6-Astroviridae-HMM154-535_62.0-ORF35
seq39	>ref-NC_033792.1 Qinghai Himalayan marmot astrovirus 1 isolate HHMAstV1, complete genome-table6-Astroviridae-HMM66-531_73.0-ORF44
seq40	>ref-NC_033821.1 Qinghai Himalayan marmot astrovirus 2 isolate HHMAstV2, complete genome-table6-Astroviridae-HMM70-531_78.0-ORF46
seq41	>ref-NC_034567.1 Goose astrovirus isolate FLX, complete sequence-table4-Astroviridae-HMM101-563_82.0-ORF55
seq42	>ref-NC_034974.1 Mamastrovirus 2 isolate K321, complete genome-table6-Astroviridae-HMM70-522_75.0-ORF33
seq43	>ref-NC_036583.1 Rodent astrovirus isolate GX-006, complete genome-table6-Astroviridae-HMM55-509_74.0-ORF39
seq44	>nrnt-MF772821 Goose astrovirus strain AAstV/Goose/CHN/2017/SD01, partial genome.-table4-Astroviridae-HMM118-581_35.0-ORF72
seq45	>nrnt-MF175073 Murine astrovirus 2 isolate MAV2/NYC/2014/M007/0090, partial genome.-table4-Astroviridae-HMM122-585_77.0-ORF33
seq46	>nrnt-KY855439 Marmot astrovirus 3 strain HT12, complete genome.-table6-Astroviridae-HMM54-508_74.0-ORF39
seq47	>nrnt-KY855437 Marmot astrovirus 1 strain HT10, complete genome.-table6-Astroviridae-HMM70-531_73.0-ORF47
seq48	>nrnt-MH028405 Avian nephritis virus 2 strain AVE52/ANV2, complete genome.-table4-Astroviridae-HMM122-580_76.0-ORF48
seq49	>nrnt-MG599912 Zhejiang gunthers frog astrovirus strain TQSWC31946 ORF1ab gene, complete cds; and capsid protein gene, partial cds.-table4-Astroviridae-HMM114-492_68.0-ORF47
seq50	>nrnt-MG599904 Guangdong chinese water snake astrovirus strain LPSF9635 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table4-Astroviridae-HMM158-549_64.0-ORF42
seq51	>nrnt-MG599899 Wenling righteye flounders astrovirus strain XYHYG25184 ORF1ab gene, complete cds; and capsid protein gene, partial cds.-table6-Astroviridae-HMM89-496_60.0-ORF45
seq52	>nrnt-MG599895 Wenling rattails astrovirus 2 strain XYHYC187426 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM86-498_77.0-ORF46
seq53	>nrnt-MG599888 Wenzhou pacific spadenose shark astrovirus 3 strain DWXCSC2095 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM54-459_74.0-ORF36
seq54	>nrnt-MG599886 Dongbei arctic lamprey astrovirus 3 strain QSMC2427 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM94-501_54.0-ORF40
seq55	>nrnt-MG599935 Nanhai ghost shark astrovirus 2 strain NHYJC33085 ORF1b and capsid protein genes, partial cds.-table6-Astroviridae-HMM23-393_62.0-ORF16
seq56	>nrnt-MG599934 Nanhai ghost shark astrovirus 1 strain NHYJC32427 ORF1b gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM1-400_81.0-ORF18
seq57	>nrnt-MG599931 Beihai tree frog astrovirus strain GDSWC169064 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM89-546_35.0-ORF57
seq58	>nrnt-MG599922 Wenling bighead beaked sandfish astrovirus strain XQTMC51418 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table4-Astroviridae-HMM86-495_68.0-ORF30
seq59	>nrnt-MG599920 Guangdong chinese water skink astrovirus strain ZGLXR62176 ORF1ab and capsid protein genes, partial cds.-table4-Astroviridae-HMM225-602_53.0-ORF54
seq60	>nrnt-MG599919 Hainan oriental leaf-toed gecko astrovirus 2 strain LPXYC178500 ORF1b and capsid protein genes, complete cds.-table4-Astroviridae-HMM66-531_87.0-ORF24
seq61	>nrnt-MG599918 Hainan oriental leaf-toed gecko astrovirus 1 strain LPXYC174317 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM82-544_81.0-ORF44
seq62	>nrnt-MG599917 Hainan gekko similignum astrovirus strain LPXYC188631 ORF1a gene, partial cds; and ORF1b and capsid protein genes, complete cds.-table6-Astroviridae-HMM131-594_32.0-ORF67
seq63	>nrnt-MG599916 Zhejiang chinese fire belly newt astrovirus 2 strain DFRYG3998 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM131-592_77.0-ORF22
seq64	>nrnt-MG599909 Hainan marbled pigmy frog astrovirus 2 strain HJWCGF4863 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table4-Astroviridae-HMM128-504_64.0-ORF41
seq65	>nrnt-MG599907 Yili teratoscincus roborowskii astrovirus strain LPWC210211 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM171-548_46.0-ORF48
seq66	>nrnt-MG599906 Hainan leptobrachium hainanense astrovirus strain LPWC162729 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM108-489_62.0-ORF40
seq67	>nrnt-MG599905 Guangdong sanke astrovirus strain LPSF12373 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table4-Astroviridae-HMM176-563_60.0-ORF40
seq68	>nrnt-MG599900 Wenling japanese thread-sail fish astrovirus strain XYHYG25325 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table6-Astroviridae-HMM91-507_76.0-ORF22
seq69	>nrnt-MG599896 Wenling rattails astrovirus 3 strain XYHYC189285 ORF1a gene, partial cds; and ORF1b and capsid protein genes, complete cds.-table4-Astroviridae-HMM72-470_74.0-ORF16
seq70	>nrnt-MG599894 Wenling snipefish astrovirus strain XYHYC165335 ORF1ab and capsid protein genes, partial cds.-table6-Astroviridae-HMM89-482_44.0-ORF31
seq71	>nrnt-MG599891 Dongbei arctic lamprey astrovirus 1 strain QSMS31209 ORF1ab gene, complete cds; and capsid protein gene, partial cds.-table4-Astroviridae-HMM97-516_76.0-ORF51
seq72	>nrnt-MG599889 Wenzhou pacific spadenose shark astrovirus 2 strain RGYQSMGReov43317 ORF1ab gene, partial cds; and capsid protein gene, complete cds.-table4-Astroviridae-HMM101-527_75.0-ORF38
seq73	>nrnt-MG599884 Wenling perciformes astrovirus 2 strain LXMC185503 ORF1a and ORF1b genes, complete cds; and capsid protein gene, partial cds.-table4-Astroviridae-HMM101-511_75.0-ORF51
seq74	>nrnt-MG599880 Wuhan japanese halfbeak astrovirus strain DSYS1394 ORF1a gene, partial cds; ORF1b gene, complete cds; and capsid protein gene, partial cds.-table4-Astroviridae-HMM104-488_65.0-ORF22
seq75	>nrnt-MG599936 Wenling japanese topeshark astrovirus strain RBCSC17455 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM90-480_66.0-ORF41
seq76	>nrnt-MG599933 Guangxi changeable lizard astrovirus strain GXSXC128985 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM303-686_48.0-ORF42
seq77	>nrnt-MG599932 Beihai tree frog astrovirus strain GDSWC170753 ORF1ab and capsid protein genes, complete cds.-table6-Astroviridae-HMM75-455_56.0-ORF44
seq78	>nrnt-MG599930 Yancheng grey stingfish astrovirus strain XYXMC57263 ORF1ab and capsid protein genes, complete cds.-table6-Astroviridae-HMM100-503_62.0-ORF51
seq79	>nrnt-MG599928 Wenling yellow-striped sandperch astrovirus strain XLXMC35036 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM84-508_79.0-ORF49
seq80	>nrnt-MG599926 Beihai fish astrovirus 1 strain XDXMG13821 ORF1ab and capsid protein genes, complete cds.-table6-Astroviridae-HMM68-475_67.0-ORF53
seq81	>nrnt-MG599925 Wenling crossorhombus astrovirus 2 strain XDXMC21452 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM73-489_74.0-ORF61
seq82	>nrnt-MG599924 Wenling crossorhombus astrovirus 1 strain XDXMC21409 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM74-489_78.0-ORF46
seq83	>nrnt-MG599923 Wenling plagiopsetta astrovirus strain XDXMC10209 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM68-471_67.0-ORF48
seq84	>nrnt-MG599921 Wenling longspine snipefish astrovirus strain XQTMC49337 ORF1ab and capsid protein genes, complete cds.-table6-Astroviridae-HMM67-472_32.0-ORF66
seq85	>nrnt-MG599915 Zhejiang chinese fire belly newt astrovirus 3 strain DFRYG3979V2 ORF1ab and capsid protein genes, complete cds.-table4-Astroviridae-HMM153-530_55.0-ORF45
