seq1	>ref-NC_002557.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 1, complete sequence-table6-Spinareovirinae_2-HMM476-830_27.0-ORF48
seq2	>ref-NC_003017.1 Lymantria dispar cypovirus 1 segment 2, complete sequence-table6-Spinareovirinae_2-HMM468-821_28.0-ORF37
seq3	>ref-NC_003654.1 Nilaparvata lugens reovirus segment 1, complete sequence-table6-Spinareovirinae_2-HMM612-973_24.0-ORF41
seq4	>ref-NC_003696.1 Eyach virus segment 1, complete genome-table6-Spinareovirinae_2-HMM547-945_27.0-ORF47
seq5	>ref-NC_003729.1 Rice black streaked dwarf virus segment 1, complete sequence-table4-Spinareovirinae_2-HMM628-996_24.0-ORF52
seq6	>ref-NC_003771.1 Rice ragged stunt virus RNA-dependent RNA polymerase and P4b genes, complete cds-table6-Spinareovirinae_2-HMM463-821_28.0-ORF36
seq7	>ref-NC_004181.1 Colorado tick fever virus segment 1, complete sequence-table6-Spinareovirinae_2-HMM547-945_27.0-ORF52
seq8	>ref-NC_003006.1 Cypovirus 14 RNA 1, complete sequence-table6-Spinareovirinae_2-HMM503-857_27.0-ORF47
seq9	>ref-NC_007159.1 Fiji disease virus segment 1, complete genome-table6-Spinareovirinae_2-HMM634-1001_24.0-ORF53
seq10	>ref-NC_007535.1 Mycoreovirus 3 segment S1, complete sequence-table4-Spinareovirinae_2-HMM496-886_28.0-ORF39
seq11	>ref-NC_007559.1 Operophtera brumata reovirus segment 1, complete genome-table4-Spinareovirinae_2-HMM537-881_25.0-ORF53
seq12	>ref-NC_007667.1 Aedes pseudoscutellaris reovirus segment 2, complete sequence-table6-Spinareovirinae_2-HMM454-821_29.0-ORF40
seq13	>ref-NC_008733.1 Mal de Rio Cuarto virus segment S1, complete sequence-table4-Spinareovirinae_2-HMM629-997_24.0-ORF45
seq14	>ref-NC_010668.1 Heliothis armigera cypovirus 5 segment 3, complete sequence-table4-Spinareovirinae_2-HMM443-796_28.0-ORF33
seq15	>ref-NC_010743.1 Mycoreovirus 1 segment 1, complete sequence-table6-Spinareovirinae_2-HMM501-871_27.0-ORF38
seq16	>ref-NC_010746.1 Mycoreovirus 1 segment 4, complete sequence-table6-Spinareovirinae_2-HMM320-413_12.0-ORF26
seq17	>ref-NC_014600.1 Raspberry latent virus segment S3, complete genome-table4-Spinareovirinae_2-HMM454-819_29.0-ORF47
seq18	>ref-NC_014714.1 Southern rice black-streaked dwarf virus segment 1, complete genome-table4-Spinareovirinae_2-HMM629-997_24.0-ORF50
seq19	>ref-NC_016874.1 Spissistilus festinus reovirus segment 2, complete genome-table6-Spinareovirinae_2-HMM450-799_27.0-ORF31
seq20	>ref-NC_023491.1 Inachis io cypovirus 2 segment 1, complete sequence-table6-Spinareovirinae_2-HMM444-795_28.0-ORF37
seq21	>ref-NC_025486.1 Fako virus strain CSW77 segment 2 RNA-dependent RNA polymerase gene, complete cds-table6-Spinareovirinae_2-HMM454-821_29.0-ORF48
seq22	>ref-NC_025847.1 Dendrolimus punctatus cypovirus 22 isolate Macheng segment 3, complete sequence-table6-Spinareovirinae_2-HMM438-785_28.0-ORF38
seq23	>ref-NC_027567.1 Lutzomyia reovirus 1 isolate piaui segment RNA-dependent RNA polymerase RNA-dependent RNA polymerase gene, complete cds-table6-Spinareovirinae_2-HMM455-808_28.0-ORF36
seq24	>ref-NC_023420.2 Cimodo virus strain C74-CI-2004 segment 1, complete sequence-table6-Spinareovirinae_2-HMM528-874_25.0-ORF50
seq25	>ref-NC_030158.1 Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 1, complete sequence-table4-Spinareovirinae_2-HMM496-887_28.0-ORF38
seq26	>ref-NC_032167.1 Hubei insect virus 2 strain arthropodmix13736 RNA-dependent RNA polymerase gene, complete cds-table6-Spinareovirinae_2-HMM673-1031_23.0-ORF53
