seq1	>ref-NC_002551.1 Vesicular exanthema of swine virus, complete genome-table6-Caliciviridae-HMM1373-1856_23.0-ORF55
seq2	>ref-NC_000940.1 Porcine enteric sapovirus, complete genome-table4-Caliciviridae-HMM1218-1693_20.0-ORF56
seq3	>ref-NC_004542.1 Canine calicivirus, complete genome-table4-Caliciviridae-HMM1425-1906_18.0-ORF69
seq4	>ref-NC_004064.1 Calicivirus strain NB, complete genome-table6-Caliciviridae-HMM1171-1658_21.0-ORF74
seq5	>ref-NC_004541.1 Walrus calicivirus non-structural polyprotein, capsid, and putative nucleic-acid binding protein genes, complete cds-table6-Caliciviridae-HMM1372-1855_24.0-ORF54
seq6	>ref-NC_001481.2 Feline calicivirus, complete genome-table4-Caliciviridae-HMM1265-1743_26.0-ORF61
seq7	>ref-NC_010624.1 Sapovirus Mc10, complete genome-table6-Caliciviridae-HMM1226-1702_20.0-ORF69
seq8	>ref-NC_006269.1 Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome-table4-Caliciviridae-HMM1222-1698_20.0-ORF64
seq9	>ref-NC_006554.1 Sapovirus C12 strain C12-table6-Caliciviridae-HMM1227-1703_20.0-ORF69
seq10	>ref-NC_002615.1 European brown hare syndrome virus, complete genome-table4-Caliciviridae-HMM1275-1739_19.0-ORF55
seq11	>ref-NC_006875.1 Calicivirus isolate TCG, complete genome-table6-Caliciviridae-HMM1171-1658_21.0-ORF67
seq12	>ref-NC_001543.1 Rabbit hemorrhagic disease virus-FRG, complete genome-table4-Caliciviridae-HMM1283-1748_19.0-ORF58
seq13	>ref-NC_001959.2 Norovirus GI, complete genome-table6-Caliciviridae-HMM1298-1763_25.0-ORF54
seq14	>ref-NC_007916.1 Newbury agent 1 virus, complete genome-table6-Caliciviridae-HMM1180-1667_21.0-ORF60
seq15	>ref-NC_008580.1 Rabbit vesivirus, complete genome-table6-Caliciviridae-HMM1372-1855_25.0-ORF55
seq16	>ref-NC_008311.1 Norovirus GV, complete genome-table4-Caliciviridae-HMM1199-1664_26.0-ORF31
seq17	>ref-NC_011050.1 Steller sea lion vesivirus, complete genome-table6-Caliciviridae-HMM1372-1856_23.0-ORF53
seq18	>ref-NC_011704.1 Rabbit calicivirus Australia 1 MIC-07, complete genome-table4-Caliciviridae-HMM1278-1742_19.0-ORF70
seq19	>ref-NC_012699.1 Calicivirus pig/AB90/CAN, complete genome-table6-Caliciviridae-HMM1009-1457_21.0-ORF60
seq20	>ref-NC_017936.1 Bat sapovirus TLC58/HK, complete genome-table6-Caliciviridae-HMM1241-1720_20.0-ORF74
seq21	>ref-NC_019712.1 Mink calicivirus, complete genome-table6-Caliciviridae-HMM1442-1924_22.0-ORF66
seq22	>ref-NC_024031.1 Atlantic salmon calicivirus isolate Nordland/2011, complete genome-table6-Caliciviridae-HMM1307-1755_18.0-ORF76
seq23	>ref-NC_024078.1 Goose calicivirus strain N, complete genome-table6-Caliciviridae-HMM1232-1711_18.0-ORF64
seq24	>ref-NC_025676.1 San Miguel sea lion virus 8, complete genome-table6-Caliciviridae-HMM1441-1924_22.0-ORF60
seq25	>ref-NC_027026.1 Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome-table4-Caliciviridae-HMM1237-1713_20.0-ORF64
seq26	>ref-NC_027122.1 Vesivirus ferret badger/JX12/China/2012, complete genome-table6-Caliciviridae-HMM1410-1891_24.0-ORF63
seq27	>ref-NC_029645.1 Norovirus GIII nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds-table4-Caliciviridae-HMM1200-1666_26.0-ORF40
seq28	>ref-NC_029646.1 Norovirus GII nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds-table4-Caliciviridae-HMM1208-1673_27.0-ORF45
seq29	>ref-NC_029647.1 Norovirus GIV nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds-table4-Caliciviridae-HMM1195-1661_26.0-ORF50
seq30	>ref-NC_030793.1 Bovine calicivirus strain Kirklareli, complete genome-table6-Caliciviridae-HMM1196-1682_21.0-ORF58
seq31	>ref-NC_031324.1 Primate norovirus, complete genome-table6-Caliciviridae-HMM1299-1764_25.0-ORF54
seq32	>ref-NC_032829.1 Shahe isopoda virus 1 strain SHWC0209c12784 hypothetical protein gene, complete cds-table6-Caliciviridae-HMM1922-2184_7.0-ORF108
seq33	>ref-NC_033081.1 Chicken calicivirus strain RS/BR/2015, complete genome-table4-Caliciviridae-HMM1337-1804_19.0-ORF67
seq34	>ref-NC_033776.1 Bat sapovirus isolate Bat-SaV/Limbe65/CAM/2014 polyprotein and putative minor structural protein genes, complete cds-table4-Caliciviridae-HMM1228-1702_20.0-ORF68
seq35	>ref-NC_034444.1 Hom-1 vesivirus, complete genome-table6-Caliciviridae-HMM1401-1884_23.0-ORF61
seq36	>ref-NC_035675.1 Fathead minnow calicivirus polyprotien and putative minor structural protein genes, complete cds-table6-Caliciviridae-HMM1079-1489_18.0-ORF67
seq37	>nrnt-KF944252 Norovirus GII.6 isolate Hu/GII.P7-GII.6/RUS/Novosibirsk/Nsk-N4865/2012 RNA-dependent RNA polymerase (POL) and major capsid protein VP1 (VP1) genes, partial cds.-table4-Caliciviridae-HMM2-247_84.0-ORF7
seq38	>nrnt-KF944242 Norovirus GII.6 isolate Hu/GII.P7-GII.6/RUS/Novosibirsk/Nsk-N4635/2012 RNA-dependent RNA polymerase (POL) and major capsid protein VP1 (VP1) genes, partial cds.-table4-Caliciviridae-HMM2-247_87.0-ORF7
seq39	>nrnt-KF931178 Norovirus GII isolate Hu/GII.P21-GII.3/RUS/Novosibirsk/Nsk-H336/2004 RNA-dependent RNA polymerase (POL) gene, partial cds; major capsid protein VP1 (VP1) gene, complete cds; and minor capsid protein VP2 (VP2) gene, partial cds.-table4-Caliciviridae-HMM2-247_87.0-ORF8
seq40	>nrnt-MF175077 Murine sapovirus isolate MSV/NYC/2014/Mpool/842, partial genome.-table4-Caliciviridae-HMM1182-1646_20.0-ORF36
seq41	>nrnt-LC380411 Sapovirus Hu/GI.6/Nichinan/FP05284/2005/JPN genomic RNA, complete genome.-table4-Caliciviridae-HMM1225-1701_20.0-ORF64
seq42	>nrnt-KY855444 Marmot sapovirus strain HT17, partial genome.-table4-Caliciviridae-HMM805-1280_24.0-ORF44
seq43	>nrnt-KY855443 Marmot norovirus strain HT16, complete genome.-table4-Caliciviridae-HMM1024-1476_21.0-ORF39
seq44	>nrnt-MG572716 California sea lion norovirus strain Csl/NoV2/PF090207 ORF1 polyprotein gene, partial cds; and VP1 capsid protein and VP2 minor structural protein genes, complete cds.-table6-Caliciviridae-HMM1268-1734_26.0-ORF47
seq45	>nrnt-MG572714 California sea lion norovirus strain Csl/NoV1/PF080916-1 ORF1 polyprotein, VP1 capsid protein, and VP2 minor structural protein genes, complete cds.-table6-Caliciviridae-HMM1268-1735_26.0-ORF53
seq46	>nrnt-MH130046 Norovirus GI strain Hu/BD/2011/GI.Pg-GI.7/Dhaka1882, complete genome.-table6-Caliciviridae-HMM1308-1773_25.0-ORF57
seq47	>nrnt-MG599979 Yancheng osbecks grenadier anchovy calicivirus polyprotein gene, partial cds; and VP2 gene, complete cds.-table6-Caliciviridae-HMM1214-1630_18.0-ORF73
seq48	>nrnt-MG599976 Zhejiang gunthers frog calicivirus 2 polyprotein and VP2 genes, partial cds.-table4-Caliciviridae-HMM1335-1808_19.0-ORF86
seq49	>nrnt-MG599962 Wuhan spiny eel calicivirus 1 polyprotein and VP2 genes, partial cds.-table4-Caliciviridae-HMM1053-1447_17.0-ORF69
seq50	>nrnt-MG599961 Wuhan carp calicivirus 1 polyprotein gene, partial cds; and VP2 gene, complete cds.-table6-Caliciviridae-HMM457-865_26.0-ORF47
seq51	>nrnt-MG599959 Beihai rabbitfish calicivirus 1 polyprotein gene, partial cds.-table1-Caliciviridae-HMM1121-1504_24.0-ORF53
seq52	>nrnt-MG599978 Guangdong pseudohemiculter dispar calicivirus polyprotein and VP2 genes, complete cds.-table6-Caliciviridae-HMM1293-1736_18.0-ORF72
seq53	>nrnt-MG599977 Wenling sharpspine skate calicivirus polyprotein and VP2 genes, complete cds.-table6-Caliciviridae-HMM1356-1764_16.0-ORF80
seq54	>nrnt-MG599974 Fujian spotted paddle-tail newt calicivirus polyprotein and VP2 genes, complete cds.-table6-Caliciviridae-HMM1240-1681_18.0-ORF81
seq55	>nrnt-MG599973 Guangdong greater green snake calicivirus polyprotein, hypothetical protein, and VP2 genes, complete cds.-table6-Caliciviridae-HMM1094-1545_20.0-ORF72
seq56	>nrnt-MG599971 Wenling rattails calicivirus 3 polyprotein and VP2 genes, complete cds.-table6-Caliciviridae-HMM1160-1554_17.0-ORF78
