seq1	>ref-NC_003412.1 Euprosterna elaeasa virus, complete genome-table6-Permutotetraviridae-HMM123-608_36.0-ORF34
seq2	>ref-NC_012958.1 Drosophila A virus, complete genome-table6-Permutotetraviridae-HMM169-636_38.0-ORF32
seq3	>ref-NC_028381.1 Aphis glycines virus 2 isolate AGV 1-IA replicase, putative readthrough protein, and coat protein genes, complete cds-table4-Permutotetraviridae-HMM159-631_39.0-ORF31
seq4	>ref-NC_028489.1 Daeseongdong virus 2 strain A12.2549/ROK/2012, complete genome-table6-Permutotetraviridae-HMM227-632_25.0-ORF39
seq5	>ref-NC_030845.1 Egaro virus RNA-dependent RNA polymerase and coat protein genes, complete cds-table6-Permutotetraviridae-HMM79-552_46.0-ORF37
seq6	>ref-NC_032122.1 Beihai permutotetra-like virus 2 strain HOU234589 RdRp and putative capsid protein genes, complete cds-table6-Permutotetraviridae-HMM148-599_45.0-ORF34
seq7	>ref-NC_033196.1 Sanxia water strider virus 19 strain SXSSP2568 RdRp and hypothetical protein genes, complete cds-table4-Permutotetraviridae-HMM172-641_34.0-ORF30
seq8	>ref-NC_033188.1 Sanxia permutotetra-like virus 1 strain SXSSP2461 RdRp and hypothetical protein genes, complete cds-table6-Permutotetraviridae-HMM169-631_41.0-ORF31
seq9	>ref-NC_033078.1 Beihai sphaeromadae virus 4 strain BHTSS17969 RdRp and putative capsid protein genes, complete cds-table6-Permutotetraviridae-HMM228-625_29.0-ORF44
seq10	>ref-NC_033114.1 Hubei permutotetra-like virus 6 strain QCM123521 RdRp and putative capsid protein genes, complete cds-table6-Permutotetraviridae-HMM242-655_32.0-ORF44
seq11	>ref-NC_033121.1 Hubei permutotetra-like virus 2 strain QTM26624 RdRp, hypothetical protein 1, and hypothetical protein 2 genes, complete cds-table6-Permutotetraviridae-HMM134-603_44.0-ORF35
seq12	>ref-NC_033132.1 Hubei permutotetra-like virus 7 strain QTM27196 RdRp and hypothetical protein genes, complete cds-table6-Permutotetraviridae-HMM211-626_33.0-ORF31
seq13	>ref-NC_033179.1 Hubei permutotetra-like virus 3 strain spider127212 RdRp and hypothetical protein genes, complete cds-table6-Permutotetraviridae-HMM173-634_28.0-ORF46
seq14	>ref-NC_033105.1 Hubei permutotetra-like virus 1 strain mosZJ32939 RdRp, hypothetical protein 1, and hypothetical protein 2 genes, complete cds-table6-Permutotetraviridae-HMM177-651_43.0-ORF33
seq15	>ref-NC_033251.1 Hubei permutotetra-like virus 9 strain ZCM21318 RdRp and hypothetical protein genes, complete cds-table4-Permutotetraviridae-HMM175-647_34.0-ORF26
seq16	>ref-NC_033233.1 Hubei permutotetra-like virus 5 strain WHYY24053 RdRp and hypothetical protein genes, complete cds-table6-Permutotetraviridae-HMM156-620_42.0-ORF36
seq17	>ref-NC_033097.1 Hubei permutotetra-like virus 11 strain mosHB234479 RdRp and putative capsid protein genes, complete cds-table6-Permutotetraviridae-HMM166-634_29.0-ORF55
seq18	>ref-NC_033216.1 Hubei permutotetra-like virus 8 strain WHSWHC54546 RdRp, putative capsid protein, and hypothetical protein genes, complete cds-table4-Permutotetraviridae-HMM150-655_40.0-ORF42
seq19	>ref-NC_033140.1 Hubei permutotetra-like virus 4 strain QTM26287 RdRp, putative capsid protein, and hypothetical protein genes, complete cds-table4-Permutotetraviridae-HMM139-611_41.0-ORF35
seq20	>ref-NC_033245.1 Hubei permutotetra-like virus 10 strain ZCM16232 RdRp and putative capsid protein genes, complete cds-table6-Permutotetraviridae-HMM142-598_45.0-ORF34
seq21	>ref-NC_033470.1 Wuhan house centipede virus 9 strain arthropodmix13921 hypothetical protein gene, complete cds-table6-Permutotetraviridae-HMM176-651_44.0-ORF29
seq22	>nrnt-KX883447 Beihai permutotetra-like virus 1 strain SCJXSX31686 RdRp gene, partial cds.-table6-Permutotetraviridae-HMM251-665_38.0-ORF30
seq23	>nrnt-KX883439 Shuangao permutotetra-like virus 1 strain insectZJ82042 RdRp gene, partial cds.-table1-Permutotetraviridae-HMM146-610_66.0-ORF21
seq24	>nrnt-KX580893 Defiwi virus RNA-dependent RNA polymerase gene, partial cds.-table4-Permutotetraviridae-HMM138-584_41.0-ORF33
seq25	>nrnt-KX580892 Niehaus virus polyprotein gene, partial cds.-table4-Permutotetraviridae-HMM118-579_31.0-ORF42
seq26	>nrnt-MF094134 Sarawak virus strain SWK-M26, complete genome.-table1-Permutotetraviridae-HMM150-607_43.0-ORF40
