seq1	>ref-NC_005817.1 Sclerophthora macrospora virus A RNA 1, complete sequence-table6-Nodaviridae-HMM428-850_44.0-ORF25
seq2	>ref-NC_002690.1 Nodamura virus RNA1, complete sequence-table4-Nodaviridae-HMM427-818_36.0-ORF24
seq3	>ref-NC_003448.1 Striped Jack nervous necrosis virus RNA1, complete sequence-table6-Nodaviridae-HMM422-904_46.0-ORF30
seq4	>ref-NC_003691.1 Pariacato virus chromosome RNA1, complete genome-table6-Nodaviridae-HMM401-784_38.0-ORF35
seq5	>ref-NC_005094.1 Macrobrachium rosenbergii nodavirus RNA-1, complete genome-table6-Nodaviridae-HMM458-794_31.0-ORF34
seq6	>ref-NC_008040.1 Redspotted grouper nervous necrosis virus RNA 1, complete sequence-table6-Nodaviridae-HMM429-902_45.0-ORF32
seq7	>ref-NC_013458.1 Barfin flounder nervous necrosis virus RNA 1, complete genome-table6-Nodaviridae-HMM426-881_44.0-ORF27
seq8	>ref-NC_013460.1 Tiger puffer nervous necrosis virus RNA 1, complete genome-table6-Nodaviridae-HMM427-872_43.0-ORF27
seq9	>ref-NC_014978.1 Penaeus vannamei nodavirus RNA-1, complete genome-table6-Nodaviridae-HMM454-790_32.0-ORF25
seq10	>ref-NC_015069.1 Santeuil nodavirus RNA 1, complete genome-table6-Nodaviridae-HMM386-876_47.0-ORF35
seq11	>ref-NC_024492.1 Senegalese sole Iberian betanodavirus isolate SpSsIAusc16003 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM429-890_44.0-ORF30
seq12	>ref-NC_028097.1 Orsay virus isolate JU1580 RNA dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM410-902_45.0-ORF35
seq13	>ref-NC_028133.1 Le Blanc nodavirus strain JU1498 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM414-903_46.0-ORF34
seq14	>ref-NC_032154.1 Beihai sphaeromadae virus 3 strain BHTSS17005 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM427-900_46.0-ORF36
seq15	>ref-NC_032241.1 Hubei noda-like virus 17 strain HC30049 hypothetical protein gene, complete cds-table6-Nodaviridae-HMM390-801_40.0-ORF30
seq16	>ref-NC_032172.1 Beihai noda-like virus 18 strain YYSZX13070 hypothetical protein gene, complete cds-table4-Nodaviridae-HMM440-891_42.0-ORF27
seq17	>ref-NC_032244.1 Beihai noda-like virus 5 strain HOU157766 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Nodaviridae-HMM479-861_33.0-ORF33
seq18	>ref-NC_032525.1 Beihai noda-like virus 11 strain BHJJX49550 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM471-921_43.0-ORF32
seq19	>ref-NC_032523.1 Beihai mantis shrimp virus 6 strain BHXG24422 RNA-dependent RNA polymerase, hypothetical protein, and B2-like protein genes, complete cds-table6-Nodaviridae-HMM450-800_32.0-ORF25
seq20	>ref-NC_032520.1 Beihai barnacle virus 11 strain BHTH10280 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM429-904_47.0-ORF29
seq21	>ref-NC_032647.1 Beihai shrimp virus 6 strain BHBJDX18793 RNA-dependent RNA polymerase gene, complete cds-table6-Nodaviridae-HMM426-810_40.0-ORF31
seq22	>ref-NC_033077.1 Sanxia water strider virus 17 strain SXSSP1704 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Nodaviridae-HMM411-784_35.0-ORF26
seq23	>ref-NC_033166.1 Wenzhou bivalvia virus 3 strain beimix38484 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Nodaviridae-HMM557-1045_40.0-ORF35
seq24	>ref-NC_033265.1 Shuangao insect virus 11 strain insectZJ65889 hypothetical protein gene, complete cds-table6-Nodaviridae-HMM431-811_42.0-ORF27
