seq1	>ref-NC_003468.2 Andes virus segment L, complete genome-table6-Hantaviridae-HMM565-1304_33.0-ORF65
seq2	>ref-NC_005225.1 Puumala virus segment L, complete genome-table6-Hantaviridae-HMM565-1304_33.0-ORF63
seq3	>ref-NC_005217.1 Sin Nombre virus map viral genome L segment-table6-Hantaviridae-HMM565-1304_33.0-ORF62
seq4	>ref-NC_005226.1 Tula virus segment L, complete sequence-table6-Hantaviridae-HMM565-1304_34.0-ORF61
seq5	>ref-NC_005238.1 Seoul virus strain Seoul 80-39 clone 1-table6-Hantaviridae-HMM566-1304_33.0-ORF73
seq6	>ref-NC_006435.1 Hantavirus Z10 chromosome L, complete genome-table6-Hantaviridae-HMM565-1304_33.0-ORF66
seq7	>ref-NC_005222.1 Hantaan virus segment L, complete genome-table6-Hantaviridae-HMM565-1304_33.0-ORF71
seq8	>ref-NC_005235.1 Dobrava virus complete L segment gene for polymerase protein, strain DOBV/Ano-Poroia/Afl9/1999)-table6-Hantaviridae-HMM565-1304_33.0-ORF65
seq9	>ref-NC_010707.1 Thottapalayam virus segment L, complete sequence-table6-Hantaviridae-HMM572-1312_33.0-ORF65
seq10	>ref-NC_034399.1 Jeju virus strain 10-11 RNA-dependent RNA polymerase gene, complete cds-table4-Hantaviridae-HMM564-1303_33.0-ORF66
seq11	>ref-NC_034401.1 Quezon virus clone MT1720/1657 segment L, complete sequence-table6-Hantaviridae-HMM565-1304_34.0-ORF73
seq12	>ref-NC_034402.1 Bruges hantavirus strain BE/Vieux-Genappe/TE/2013/1 RNA-dependent RNA polymerase gene, complete cds-table6-Hantaviridae-HMM566-1304_33.0-ORF78
seq13	>ref-NC_034403.1 Montano virus gene for RNA-dependent RNA polymerase, complete cds, isolate: 104/2006-table6-Hantaviridae-HMM558-1297_33.0-ORF70
seq14	>ref-NC_034407.1 Bowe virus strain VN1512 RNA-dependent RNA polymerase gene, complete cds-table4-Hantaviridae-HMM564-1303_33.0-ORF72
seq15	>ref-NC_034465.1 Nova virus strain Te34 RNA-dependent RNA polymerase gene, complete cds-table6-Hantaviridae-HMM571-1311_33.0-ORF69
seq16	>ref-NC_034467.1 Eothenomys eleusis hantavirus FUGV isolate FG10 segment large, complete sequence-table4-Hantaviridae-HMM565-1304_33.0-ORF76
seq17	>ref-NC_034485.1 Cao Bang virus strain 3 segment L polymerase gene, complete cds-table6-Hantaviridae-HMM565-1304_33.0-ORF68
seq18	>ref-NC_034515.1 Cano Delgadito virus strain VHV-574 RNA-dependent RNA polymerase gene, complete cds-table4-Hantaviridae-HMM568-1307_33.0-ORF80
seq19	>ref-NC_034556.1 Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 RNA-dependent RNA polymerase gene, complete cds-table4-Hantaviridae-HMM562-1300_34.0-ORF77
seq20	>ref-NC_034553.1 Maporal virus strain HV 97021050 segment L, complete sequence-table4-Hantaviridae-HMM566-1304_33.0-ORF70
seq21	>ref-NC_034517.1 Sangassou virus strain SA14 RNA polymerase (L) gene, complete cds-table6-Hantaviridae-HMM566-1304_33.0-ORF71
seq22	>ref-NC_034560.1 Kenkeme virus isolate Fuyuan-Sr-326 RNA-dependent RNA polymerase gene, complete cds-table4-Hantaviridae-HMM557-1296_34.0-ORF68
seq23	>ref-NC_034519.1 Khabarovsk virus isolate Fuyuan-Mm-217 RNA-dependent RNA polymerase gene, complete cds-table6-Hantaviridae-HMM565-1304_33.0-ORF64
seq24	>ref-NC_034564.1 Imjin virus segment L RNA-dependent RNA polymerase gene, complete cds-table6-Hantaviridae-HMM565-1305_33.0-ORF65
seq25	>nrnt-MG599952 Wenling hagfish hantavirus strain DHMMS25300 segment L, complete sequence.-table6-Hantaviridae-HMM603-1253_30.0-ORF76
seq26	>nrnt-MG599949 Wenling red spikefish hantavirus strain XTXMS70955 segment L, complete sequence.-table6-Hantaviridae-HMM530-1260_34.0-ORF73
seq27	>nrnt-MG599946 Wenling yellow goosefish hantavirus strain XQTMS34106 segment L, complete sequence.-table6-Hantaviridae-HMM533-1254_34.0-ORF70
seq28	>nrnt-MG599940 Hainan oriental leaf-toed gecko hantavirus strain LPXYF84819 L protein gene, complete cds.-table4-Hantaviridae-HMM561-1296_33.0-ORF76
seq29	>nrnt-KY040520 Asturias virus strain 3877 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM1-456_99.0-ORF14
seq30	>nrnt-KY040517 Asturias virus strain 3947 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM1-442_99.0-ORF14
seq31	>nrnt-KX845680 Brno virus strain 7/2012/CZE RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM553-1293_34.0-ORF43
seq32	>nrnt-KU934008 Tigray hantavirus isolate ET2121 segment L, complete sequence.-table6-Hantaviridae-HMM566-1304_33.0-ORF73
seq33	>nrnt-KT316176 Makokou virus strain Makokou GB303 RNA-dependent RNA polymerase gene, partial cds.-table6-Hantaviridae-HMM1-319_26.0-ORF36
seq34	>nrnt-EU929078 Asama virus strain N10 segment L RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM511-1250_35.0-ORF45
seq35	>nrnt-HQ831373 Thottapalayam virus strain H-1863/96 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM1-673_81.0-ORF23
seq36	>nrnt-EF636026 Seewis virus isolate mp70 RNA-dependent RNA polymerase gene, partial cds.-table6-Hantaviridae-HMM565-1109_49.0-ORF35
seq37	>nrnt-KM361061 Altai virus strain MSB148793 RNA-dependent RNA polymerase gene, complete cds.-table1-Hantaviridae-HMM551-1292_34.0-ORF55
seq38	>nrnt-KM201413 Amga virus strain MSB148558 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM507-1246_48.0-ORF28
seq39	>nrnt-KM102249 Laibin virus strain BT20 segment L, complete sequence.-table6-Hantaviridae-HMM564-1305_34.0-ORF69
seq40	>nrnt-KJ857316 Yuanjiang virus isolate Yuanjiang-Mf-13 RNA-dependent RNA polymerase gene, complete cds.-table6-Hantaviridae-HMM565-1304_33.0-ORF62
seq41	>nrnt-JX193700 Kilimanjaro virus strain FMNH174124 RNA-dependent RNA polymerase gene, complete cds.-table4-Hantaviridae-HMM566-1306_33.0-ORF74
