seq1	>ref-NC_001469.1 Cucumber necrosis virus, complete genome-table6-Tombusviridae-HMM375-849_54.0-ORF32
seq2	>ref-NC_001600.1 Cardamine chlorotic fleck virus, complete genome-table6-Tombusviridae-HMM268-769_51.0-ORF30
seq3	>ref-NC_003056.1 Soybean dwarf virus genomic RNA, complete genome, strain:YS-table6-Tombusviridae-HMM20-502_35.0-ORF42
seq4	>ref-NC_003487.1 Tobacco necrosis virus D, complete genome-table6-Tombusviridae-HMM223-729_68.0-ORF28
seq5	>ref-NC_002160.2 Barley yellow dwarf virus-PAS, complete genome-table4-Tombusviridae-HMM88-582_81.0-ORF32
seq6	>ref-NC_003369.1 Bean leafroll virus, complete genome-table6-Tombusviridae-HMM28-509_85.0-ORF31
seq7	>ref-NC_003680.1 Barley yellow dwarf virus - MAV, complete genome-table4-Tombusviridae-HMM69-550_83.0-ORF28
seq8	>ref-NC_003853.1 Pea enation mosaic virus-2, complete genome-table6-Tombusviridae-HMM190-659_64.0-ORF26
seq9	>ref-NC_003603.1 Groundnut rosette virus complete genome, strain MC1-table4-Tombusviridae-HMM94-582_73.0-ORF24
seq10	>ref-NC_003871.1 Carrot red leaf luteovirus associated RNA clone a25 putative RNA dependent RNA polymerase, complete cds-table6-Tombusviridae-HMM271-744_58.0-ORF20
seq11	>ref-NC_004366.1 Tobacco bushy top virus, complete genome-table6-Tombusviridae-HMM88-572_49.0-ORF29
seq12	>ref-NC_004995.1 Pea stem necrosis virus, complete genome-table6-Tombusviridae-HMM276-781_63.0-ORF25
seq13	>ref-NC_004045.1 Beet western yellows ST9 associated virus genomic RNA sequence, open reading frame 1,2,3, and 4-table6-Tombusviridae-HMM16-327_60.0-ORF29
seq14	>ref-NC_003535.1 Cowpea mottle virus, complete genome-table6-Tombusviridae-HMM246-742_65.0-ORF21
seq15	>ref-NC_003756.1 Red clover necrotic mosaic virus RNA-1, complete sequence-table6-Tombusviridae-HMM24-516_78.0-ORF26
seq16	>ref-NC_003806.1 Sweet clover necrotic mosaic virus RNA 1, complete sequence-table6-Tombusviridae-HMM24-516_48.0-ORF41
seq17	>ref-NC_004725.1 Cucumber Bulgarian latent virus, complete genome-table4-Tombusviridae-HMM28-502_52.0-ORF48
seq18	>ref-NC_003530.1 Carnation ringspot virus fusion protein polymerase (p88K), p27K, p57K, capsid protein (p37K) and p11K genes, complete cds-table6-Tombusviridae-HMM57-548_46.0-ORF35
seq19	>ref-NC_003821.3 Turnip crinkle virus, complete genome-table6-Tombusviridae-HMM280-781_54.0-ORF31
seq20	>ref-NC_005985.1 Pelargonium chlorotic ring pattern virus isolate GR57, complete genome-table6-Tombusviridae-HMM252-753_57.0-ORF30
seq21	>ref-NC_005286.1 Pelargonium flower break virus, complete genome-table6-Tombusviridae-HMM261-758_64.0-ORF28
seq22	>ref-NC_005287.1 Johnsongrass chlorotic stripe mosaic virus, complete genome-table6-Tombusviridae-HMM314-787_58.0-ORF25
seq23	>ref-NC_001780.1 Saguaro cactus virus, complete genome-table6-Tombusviridae-HMM258-757_64.0-ORF22
seq24	>ref-NC_004666.1 Barley yellow dwarf virus-GAV, complete genome-table4-Tombusviridae-HMM72-555_83.0-ORF30
seq25	>ref-NC_003532.1 Cymbidium ringspot virus, complete genome-table6-Tombusviridae-HMM343-817_56.0-ORF31
seq26	>ref-NC_001265.2 Carnation mottle virus (CarMV) complete genomic RNA sequence-table6-Tombusviridae-HMM276-775_53.0-ORF33
seq27	>ref-NC_001822.1 Leek white stripe virus, complete genome-table6-Tombusviridae-HMM217-721_69.0-ORF23
seq28	>ref-NC_004452.3 Beet black scorch virus, complete genome-table6-Tombusviridae-HMM215-719_69.0-ORF21
