seq1	>ref-NC_001925.1 Bunyamwera virus L segment, complete sequence-table4-Peribunyaviridae-HMM905-1354_19.0-ORF64
seq2	>ref-NC_004108.1 La Crosse virus segment L, complete genome-table6-Peribunyaviridae-HMM910-1381_20.0-ORF71
seq3	>ref-NC_005776.1 Oropouche virus segment L, complete genome-table6-Peribunyaviridae-HMM898-1360_20.0-ORF81
seq4	>ref-NC_009894.1 Akabane virus segment L, complete sequence-table6-Peribunyaviridae-HMM896-1355_20.0-ORF77
seq5	>ref-NC_018476.1 Simbu virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate SA Ar 53-table6-Peribunyaviridae-HMM893-1352_20.0-ORF78
seq6	>ref-NC_018465.1 Aino virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate 38K-table6-Peribunyaviridae-HMM895-1353_20.0-ORF75
seq7	>ref-NC_018461.1 Sathuperi virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA-table4-Peribunyaviridae-HMM892-1351_20.0-ORF83
seq8	>ref-NC_018463.1 Shamonda virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate Ib An 5550-table6-Peribunyaviridae-HMM892-1351_20.0-ORF76
seq9	>ref-NC_022039.1 Brazoran virus segment L, complete sequence-table6-Peribunyaviridae-HMM907-1355_19.0-ORF79
seq10	>ref-NC_022595.1 Murrumbidgee virus isolate 934 segment L, complete sequence-table6-Peribunyaviridae-HMM900-1356_19.0-ORF72
seq11	>ref-NC_024076.1 Cat Que Virus strain VN04-2108 polymerase gene, complete cds-table6-Peribunyaviridae-HMM904-1372_20.0-ORF65
seq12	>ref-NC_026281.1 Maprik virus isolate MK7532 segment L, complete sequence-table6-Peribunyaviridae-HMM901-1358_20.0-ORF75
seq13	>ref-NC_031221.1 Shuangao Insect Virus 1 strain QSA02 RNA-dependent RNA polymerase (L) gene, complete cds-table6-Peribunyaviridae-HMM1129-1484_14.0-ORF86
seq14	>ref-NC_034212.1 Tucunduba virus strain BeAR643361 RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM899-1347_19.0-ORF80
seq15	>ref-NC_034497.1 Madrid virus strain BT4075 RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM896-1349_19.0-ORF78
seq16	>ref-NC_034482.1 Capim virus strain BeAn 8582 segment L RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM905-1359_19.0-ORF78
seq17	>ref-NC_034475.1 Oriboca virus strain BeAn17 RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM891-1345_19.0-ORF77
seq18	>ref-NC_034489.1 Caraparu virus strain BeAn3994 RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM906-1359_19.0-ORF74
seq19	>ref-NC_034472.1 Bahig virus strain EgB 90 RNA-dependent RNA polymerase gene, complete cds-table4-Peribunyaviridae-HMM895-1357_20.0-ORF81
seq20	>ref-NC_034495.1 Marituba virus strain BeAn15 RNA-dependent RNA polymerase gene, complete cds-table4-Peribunyaviridae-HMM900-1354_20.0-ORF75
seq21	>ref-NC_034492.1 Nyando virus strain MP401 segment L polymerase gene, complete cds-table4-Peribunyaviridae-HMM893-1365_20.0-ORF79
seq22	>ref-NC_034487.1 Guaroa virus strain BeH22063 segment L, complete sequence-table6-Peribunyaviridae-HMM903-1347_19.0-ORF83
seq23	>ref-NC_034499.1 Kaeng Khoi virus strain PSC-19 segment L polymerase gene, complete cds-table6-Peribunyaviridae-HMM897-1353_19.0-ORF80
seq24	>ref-NC_034479.1 Bwamba virus strain M459 segment L polymerase gene, complete cds-table6-Peribunyaviridae-HMM906-1376_20.0-ORF76
seq25	>ref-NC_034459.1 Tai virus strain F47/CI/2004 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Peribunyaviridae-HMM1085-1543_18.0-ORF75
seq26	>ref-NC_034460.1 Kibale virus strain P05/UG/2008 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Peribunyaviridae-HMM1085-1542_18.0-ORF86
seq27	>ref-NC_034633.1 Wolkberg virus isolate 2562_SA3 segment L RNA-dependent RNA polymerase gene, complete cds-table6-Peribunyaviridae-HMM903-1361_20.0-ORF84
