seq1	>ref-NC_001874.1 Rhopalosiphum padi virus, complete genome-table6-Dicistroviridae-HMM1600-2142_23.0-ORF78
seq2	>ref-NC_003005.1 Taura syndrome virus, complete genome-table6-Dicistroviridae-HMM1717-2178_19.0-ORF72
seq3	>ref-NC_001834.1 Drosophila C virus strain EB, complete genome-table6-Dicistroviridae-HMM1261-1789_28.0-ORF70
seq4	>ref-NC_003782.1 Himetobi P virus genomic RNA, complete sequence-table6-Dicistroviridae-HMM1410-1918_26.0-ORF65
seq5	>ref-NC_003779.1 Plautia stali intestine virus RNA for nonstructural polyprotein, capsid protein precursor, complete cds-table4-Dicistroviridae-HMM1296-1809_19.0-ORF102
seq6	>ref-NC_003784.1 Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds-table4-Dicistroviridae-HMM1170-1687_30.0-ORF69
seq7	>ref-NC_003783.1 Triatoma virus nonstructural protein precursor and capsid protein precursor, genes, partial cds-table4-Dicistroviridae-HMM1266-1761_26.0-ORF77
seq8	>ref-NC_003924.1 Cricket paralysis virus nonstructural polyprotein and structural polyprotein genes, complete cds-table6-Dicistroviridae-HMM1310-1840_28.0-ORF77
seq9	>ref-NC_004365.1 Aphid lethal paralysis virus, complete genome-table6-Dicistroviridae-HMM1496-2042_26.0-ORF74
seq10	>ref-NC_004807.1 Kashmir bee virus, complete genome-table6-Dicistroviridae-HMM1501-2002_24.0-ORF78
seq11	>ref-NC_006559.1 Solenopsis invicta virus 1, complete genome-table6-Dicistroviridae-HMM894-1404_35.0-ORF42
seq12	>ref-NC_002548.1 Acute bee paralysis virus, complete genome-table6-Dicistroviridae-HMM1445-1951_25.0-ORF66
seq13	>ref-NC_008029.1 Homalodisca coagulata virus-1, complete genome-table6-Dicistroviridae-HMM1273-1782_28.0-ORF59
seq14	>ref-NC_009025.1 Israel acute paralysis virus of bees-table6-Dicistroviridae-HMM1395-1896_25.0-ORF76
seq15	>ref-NC_003780.1 Acyrthosiphon pisum virus protein P1 gene, complete cds; and protein P2 gene, partial cds-table6-Dicistroviridae-HMM1645-2104_16.0-ORF83
seq16	>ref-NC_014793.1 Mud crab dicistrovirus, complete genome-table6-Dicistroviridae-HMM1711-2175_20.0-ORF66
seq17	>ref-NC_018570.2 Macrobrachium rosenbergii Taihu virus strain cn-taihu100401, complete genome-table6-Dicistroviridae-HMM1690-2152_20.0-ORF60
seq18	>ref-NC_023021.1 Formica exsecta virus 1 isolate Fex1, complete genome-table6-Dicistroviridae-HMM1462-1963_24.0-ORF71
seq19	>ref-NC_025219.1 Cripavirus NB-1/2011/HUN, complete genome-table6-Dicistroviridae-HMM1327-1809_16.0-ORF85
seq20	>ref-NC_029052.1 Goose dicistrovirus isolate UW1, complete genome-table6-Dicistroviridae-HMM1309-1839_28.0-ORF68
seq21	>ref-NC_030115.1 Anopheles C virus non-structural polyprotein and structural polyprotein genes, complete cds-table6-Dicistroviridae-HMM1295-1813_18.0-ORF95
seq22	>ref-NC_030232.1 Antarctic picorna-like virus 1 nonstructural protein and structural protein genes, complete cds-table6-Dicistroviridae-HMM1074-1576_20.0-ORF70
seq23	>ref-NC_031687.1 Centovirus AC, complete genome-table4-Dicistroviridae-HMM1391-1903_18.0-ORF89
seq24	>ref-NC_031688.1 Mosquito dicistrovirus strain FH1, complete genome-table4-Dicistroviridae-HMM1401-1912_17.0-ORF102
seq25	>ref-NC_032112.1 Bivalve RNA virus G1, partial genome-table6-Dicistroviridae-HMM1390-1879_24.0-ORF73
seq26	>ref-NC_032115.1 Bivalve RNA virus G5, partial genome-table6-Dicistroviridae-HMM1029-1511_31.0-ORF40
seq27	>ref-NC_032113.1 Bivalve RNA virus G2, partial genome-table4-Dicistroviridae-HMM1157-1647_28.0-ORF58
seq28	>ref-NC_032198.1 Changjiang crawfish virus 4 strain CLX8819 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1855-2327_15.0-ORF98
seq29	>ref-NC_032186.1 Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1214-1713_28.0-ORF57
seq30	>ref-NC_032249.1 Beihai picorna-like virus 70 strain BHJJX25952 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1400-1891_25.0-ORF75
seq31	>ref-NC_032205.1 Beihai picorna-like virus 73 strain BHTH16077 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1174-1655_17.0-ORF97
