seq1	>ref-NC_002618.2 Cocksfoot mottle virus, complete genome-table6-Sobemoviridae-HMM42-495_81.0-ORF28
seq2	>ref-NC_004060.2 Southern bean mosaic virus isolate Sao Paulo, complete genome-table4-Sobemoviridae-HMM73-529_75.0-ORF39
seq3	>ref-NC_003747.2 Ryegrass mottle virus isolate MAFF. No. 307043 from Japan, complete genome-table4-Sobemoviridae-HMM59-520_75.0-ORF30
seq4	>ref-NC_001696.2 Lucerne transient streak virus isolate LTSV-Can, complete genome-table4-Sobemoviridae-HMM60-513_76.0-ORF30
seq5	>ref-NC_002568.2 Sesbania mosaic virus, complete genome-table4-Sobemoviridae-HMM74-530_76.0-ORF37
seq6	>ref-NC_004346.1 Subterranean clover mottle virus, complete genome-table4-Sobemoviridae-HMM44-499_79.0-ORF34
seq7	>ref-NC_001575.2 Rice yellow mottle virus complete genome, isolate CI4-table4-Sobemoviridae-HMM103-558_74.0-ORF32
seq8	>ref-NC_001625.2 Southern cowpea mosaic virus, complete genome-table4-Sobemoviridae-HMM68-522_77.0-ORF28
seq9	>ref-NC_011536.1 Imperata yellow mottle virus, complete genome-table4-Sobemoviridae-HMM107-566_67.0-ORF31
seq10	>ref-NC_011187.1 Rubus chlorotic mottle virus, complete genome-table6-Sobemoviridae-HMM33-486_82.0-ORF30
seq11	>ref-NC_014509.2 Velvet tobacco mottle virus, complete genome-table6-Sobemoviridae-HMM36-497_71.0-ORF34
seq12	>ref-NC_016033.1 Soybean yellow common mosaic virus, complete genome-table4-Sobemoviridae-HMM76-533_69.0-ORF33
seq13	>ref-NC_017914.1 Artemisia virus A, complete genome-table4-Sobemoviridae-HMM71-528_80.0-ORF31
seq14	>ref-NC_018449.1 Papaya lethal yellowing virus, complete genome-table4-Sobemoviridae-HMM103-555_67.0-ORF40
seq15	>ref-NC_004553.3 Turnip rosette virus isolate TRoV-1, complete genome-table4-Sobemoviridae-HMM90-546_76.0-ORF34
seq16	>ref-NC_027123.1 Cymbidium chlorotic mosaic virus genomic RNA, complete genome, isolate: Cym92-20-table6-Sobemoviridae-HMM37-486_80.0-ORF33
seq17	>ref-NC_027198.1 Rottboellia yellow mottle virus culture-collection DSM:PV-0496, complete genome-table6-Sobemoviridae-HMM32-489_72.0-ORF38
