seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq2	>ref-NC_004053.1 Ophiostoma mitovirus 5, complete genome-table4-Narnaviridae-HMM142-523_51.0-ORF21
seq3	>ref-NC_004051.1 Saccharomyces 20S RNA narnavirus, complete genome-table4-Narnaviridae-HMM186-596_48.0-ORF23
seq4	>ref-NC_004046.1 Cryphonectria parasitica mitovirus 1-NB631, complete genome-table4-Narnaviridae-HMM197-574_47.0-ORF25
seq5	>ref-NC_004052.1 Ophiostoma mitovirus 4, complete genome-table4-Narnaviridae-HMM125-499_47.0-ORF24
seq6	>ref-NC_004050.1 Saccharomyces 23S RNA narnavirus, complete genome-table4-Narnaviridae-HMM222-630_42.0-ORF26
seq7	>ref-NC_004054.1 Ophiostoma novo-ulmi mitovirus 6-Ld, complete genome-table4-Narnaviridae-HMM144-521_53.0-ORF19
seq8	>ref-NC_006264.1 Gremmeniella abietina mitochondrial RNA virus S2, complete genome-table4-Narnaviridae-HMM127-514_51.0-ORF24
seq9	>ref-NC_011372.2 Botrytis cinerea mitovirus 1 RNA-dependent RNA polymerase (RDRP) gene, complete cds-table4-Narnaviridae-HMM268-576_41.0-ORF32
seq10	>ref-NC_012585.1 Thielaviopsis basicola mitovirus, complete genome-table4-Narnaviridae-HMM163-541_48.0-ORF31
seq11	>ref-NC_015629.1 Tuber aestivum mitovirus, complete genome-table4-Narnaviridae-HMM171-586_49.0-ORF29
seq12	>ref-NC_017003.1 Clitocybe odora virus, complete genome-table4-Narnaviridae-HMM323-564_21.0-ORF52
seq13	>ref-NC_023598.1 Sclerotinia sclerotiorum mitovirus 6 isolate IL1 Pol gene, complete cds-table4-Narnaviridae-HMM126-499_53.0-ORF25
seq14	>ref-NC_026510.1 Sclerotinia sclerotiorum mitovirus 1 HC025, complete genome-table4-Narnaviridae-HMM124-494_51.0-ORF29
seq15	>ref-NC_026621.1 Fusarium globosum mitovirus 1 gene for RNA-dependent RNA polymerase, complete cds-table4-Narnaviridae-HMM125-500_52.0-ORF26
seq16	>ref-NC_026622.1 Fusarium coeruleum mitovirus 1 gene for RNA-dependent RNA polymerase, complete cds-table4-Narnaviridae-HMM164-535_48.0-ORF25
seq17	>ref-NC_027921.1 Binucleate Rhizoctonia mitovirus K1 isolate FAS2909W, complete genome-table6-Narnaviridae-HMM252-614_39.0-ORF34
seq18	>ref-NC_028474.1 Botrytis cinerea mitovirus 4 RdRp gene for RNA dependent RNA polymerase, isolate HAZ3-4-table4-Narnaviridae-HMM134-511_50.0-ORF34
seq19	>ref-NC_028473.1 Grapevine associated narnavirus-1 RdRp gene for RNA dependent RNA polymerase, strain Ctg157, isolate HAZ1-4-table4-Narnaviridae-HMM153-546_54.0-ORF30
seq20	>ref-NC_028476.1 Botrytis ourmia-like virus RdRp gene for RNA dependent RNA polymerase, isolate HAZ2-3-table6-Narnaviridae-HMM198-413_27.0-ORF24
seq21	>ref-NC_028475.1 Sclerotinia sclerotiorum mitovirus 3 RdRp gene for RNA dependent RNA polymerase, isolate HAZ3-6-table4-Narnaviridae-HMM160-545_53.0-ORF28
seq22	>ref-NC_028472.1 Botrytis cinerea mitovirus 3 RdRp gene for RNA dependent RNA polymerase, isolate HAZ1-3-table4-Narnaviridae-HMM162-569_51.0-ORF37
seq23	>ref-NC_028471.1 Botrytis cinerea mitovirus 2 RdRp gene for RNA dependent RNA polymerase, isolate HAZ1-2-table4-Narnaviridae-HMM148-524_51.0-ORF28
seq24	>ref-NC_029782.1 Phytophthora infestans RNA virus 4 isolate FLa2005, complete genome-table6-Narnaviridae-HMM382-720_34.0-ORF35
seq25	>ref-NC_029991.1 Rhizoctonia oryzae-sativae mitovirus 1 isolate 89-1, complete genome-table6-Narnaviridae-HMM202-589_42.0-ORF28
seq26	>ref-NC_030395.1 Cronartium ribicola mitovirus 2 isolate CrMV2-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Narnaviridae-HMM145-484_48.0-ORF33
seq27	>ref-NC_030397.1 Cronartium ribicola mitovirus 4 isolate CrMV4-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Narnaviridae-HMM131-488_49.0-ORF27
seq28	>ref-NC_030396.1 Cronartium ribicola mitovirus 3 isolate CrMV3-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Narnaviridae-HMM125-521_55.0-ORF32
seq29	>ref-NC_030399.1 Cronartium ribicola mitovirus 5 isolate CrMV5-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Narnaviridae-HMM168-565_49.0-ORF30
seq30	>ref-NC_030393.1 Cronartium ribicola mitovirus 1 isolate CrMV1-BC-u3 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table4-Narnaviridae-HMM148-533_48.0-ORF30
seq31	>ref-NC_030747.1 Alternaria arborescens mitovirus 1 genomic RNA, complete genome-table4-Narnaviridae-HMM127-494_51.0-ORF21
seq32	>ref-NC_030864.1 Fusarium poae mitovirus 4 genomic RNA, complete genome-table4-Narnaviridae-HMM146-514_53.0-ORF31
seq33	>ref-NC_030862.1 Fusarium poae mitovirus 2 genomic RNA, complete genome-table4-Narnaviridae-HMM173-543_47.0-ORF29
seq34	>ref-NC_030863.1 Fusarium poae mitovirus 3 genomic RNA, complete genome-table4-Narnaviridae-HMM199-611_49.0-ORF32
seq35	>ref-NC_030865.1 Fusarium poae narnavirus 1 genomic RNA, complete genome-table4-Narnaviridae-HMM226-519_39.0-ORF23
seq36	>ref-NC_030861.1 Fusarium poae mitovirus 1 genomic RNA, complete genome-table4-Narnaviridae-HMM134-513_51.0-ORF29
seq37	>ref-NC_032121.1 Hubei narna-like virus 24 strain SCM50734 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM241-425_24.0-ORF26
seq38	>ref-NC_032225.1 Hubei narna-like virus 18 strain CC64130 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds-table6-Narnaviridae-HMM270-480_28.0-ORF18
seq39	>ref-NC_032428.1 Beihai barnacle virus 10 strain BHTH18714 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM375-630_26.0-ORF32
seq40	>ref-NC_032448.1 Beihai narna-like virus 13 strain BHWZXX14912 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM478-706_24.0-ORF33
seq41	>ref-NC_032421.1 Beihai narna-like virus 19 strain BHNXC41285 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM757-895_10.0-ORF50
seq42	>ref-NC_032411.1 Beihai narna-like virus 15 strain BHHZL10358 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM512-728_23.0-ORF37
