seq1	>ref-NC_002526.1 Bovine ephemeral fever virus, complete genome-table6-Rhabdoviridae-HMM500-895_18.0-ORF167
seq2	>ref-NC_001615.3 Sonchus yellow net virus complete genome-table6-Rhabdoviridae-HMM558-952_17.0-ORF158
seq3	>ref-NC_000903.1 Snakehead rhabdovirus complete genome-table4-Rhabdoviridae-HMM460-862_19.0-ORF118
seq4	>ref-NC_001560.1 Vesicular stomatitis Indiana virus, complete genome-table6-Rhabdoviridae-HMM444-844_18.0-ORF125
seq5	>ref-NC_001652.1 Infectious hematopoietic necrosis virus, complete genome-table4-Rhabdoviridae-HMM539-942_19.0-ORF80
seq6	>ref-NC_002803.1 Spring viraemia of carp virus, complete genome-table6-Rhabdoviridae-HMM520-919_18.0-ORF119
seq7	>ref-NC_003243.1 Australian bat lyssavirus, complete genome-table4-Rhabdoviridae-HMM486-882_18.0-ORF133
seq8	>ref-NC_003746.1 Rice yellow stunt virus, complete genome-table6-Rhabdoviridae-HMM505-900_19.0-ORF151
seq9	>ref-NC_005975.1 Maize mosaic virus, complete genome-table6-Rhabdoviridae-HMM617-1007_18.0-ORF126
seq10	>ref-NC_002251.1 Northern cereal mosaic virus, complete genome-table6-Rhabdoviridae-HMM417-819_19.0-ORF148
seq11	>ref-NC_006429.1 Mokola virus, complete genome-table4-Rhabdoviridae-HMM530-926_17.0-ORF143
seq12	>ref-NC_000855.1 Viral hemorrhagic septicemia virus Fil3, complete genome-table4-Rhabdoviridae-HMM431-833_19.0-ORF88
seq13	>ref-NC_005093.1 Hirame rhabdovirus, complete genome-table6-Rhabdoviridae-HMM502-905_18.0-ORF117
seq14	>ref-NC_006942.1 Taro vein chlorosis virus, complete genome-table6-Rhabdoviridae-HMM476-864_19.0-ORF137
seq15	>ref-NC_005974.1 Maize fine streak virus, complete genome-table4-Rhabdoviridae-HMM616-1022_18.0-ORF168
seq16	>ref-NC_001542.1 Rabies virus, complete genome-table6-Rhabdoviridae-HMM511-908_18.0-ORF133
seq17	>ref-NC_007020.1 Tupaia virus, complete genome-table6-Rhabdoviridae-HMM442-840_18.0-ORF135
seq18	>ref-NC_007642.1 Lettuce necrotic yellows virus, complete genome-table6-Rhabdoviridae-HMM425-828_18.0-ORF142
seq19	>ref-NC_008514.1 Siniperca chuatsi rhabdovirus, complete genome-table6-Rhabdoviridae-HMM455-853_18.0-ORF133
seq20	>ref-NC_009527.1 European bat lyssavirus 1, complete genome-table6-Rhabdoviridae-HMM545-942_17.0-ORF143
seq21	>ref-NC_009609.1 Orchid fleck virus genomic RNA, segment RNA 2, complete sequence-table6-Rhabdoviridae-HMM458-853_20.0-ORF66
seq22	>ref-NC_009528.2 European bat lyssavirus 2 isolate RV1333, complete genome-table4-Rhabdoviridae-HMM525-921_17.0-ORF137
seq23	>ref-NC_011558.1 Lettuce big-vein associated virus RNA 1, complete genome-table6-Rhabdoviridae-HMM539-932_18.0-ORF67
seq24	>ref-NC_011532.1 Lettuce yellow mottle virus, complete genome-table6-Rhabdoviridae-HMM420-822_19.0-ORF139
seq25	>ref-NC_011639.1 Wongabel virus, complete genome-table4-Rhabdoviridae-HMM624-1022_17.0-ORF160
seq26	>ref-NC_013135.1 Drosophila melanogaster sigma virus AP30 N, P, X, M, G and L genes, genomic RNA, isolate AP30-table6-Rhabdoviridae-HMM1078-1478_14.0-ORF154
seq27	>ref-NC_013955.1 Ngaingan virus, complete genome-table4-Rhabdoviridae-HMM498-896_18.0-ORF168
seq28	>ref-NC_017714.1 Kotonkan virus, complete genome-table4-Rhabdoviridae-HMM625-1022_17.0-ORF182
seq29	>ref-NC_016136.1 Potato yellow dwarf virus, complete genome-table6-Rhabdoviridae-HMM1410-1800_13.0-ORF129
seq30	>ref-NC_017685.1 Obodhiang virus, complete genome-table6-Rhabdoviridae-HMM536-933_17.0-ORF157
seq31	>ref-NC_018629.1 Ikoma lyssavirus, complete genome-table6-Rhabdoviridae-HMM465-862_18.0-ORF142
seq32	>ref-NC_018381.2 Persimmon virus A viral cRNA, complete genome, clone: Kaki13-14-table4-Rhabdoviridae-HMM433-836_18.0-ORF164
seq33	>ref-NC_020803.1 Perch rhabdovirus isolate PRV nucleocapsid (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA dependant RNA polymerase (L) genes, complete cds-table6-Rhabdoviridae-HMM479-771_13.0-ORF140
seq34	>ref-NC_020804.1 Tibrogargan virus strain CS132, complete genome-table4-Rhabdoviridae-HMM579-976_17.0-ORF158
seq35	>ref-NC_020809.1 Irkut virus, complete genome-table4-Rhabdoviridae-HMM487-883_18.0-ORF141
seq36	>ref-NC_020810.1 Duvenhage virus isolate 86132SA, complete genome-table6-Rhabdoviridae-HMM478-875_18.0-ORF140
seq37	>ref-NC_020808.1 Aravan virus, complete genome-table4-Rhabdoviridae-HMM468-864_18.0-ORF134
seq38	>ref-NC_020807.1 Lagos bat virus isolate 0406SEN, complete genome-table4-Rhabdoviridae-HMM465-861_18.0-ORF140
seq39	>ref-NC_020805.1 Chandipura virus isolate CIN 0451, complete genome-table4-Rhabdoviridae-HMM448-848_18.0-ORF134
seq40	>ref-NC_020806.1 Isfahan virus N gene, P gene, M gene, G gene and L gene, genomic RNA-table4-Rhabdoviridae-HMM989-1389_15.0-ORF124
seq41	>ref-NC_022580.1 Drosophila obscura sigma virus 10A, complete genome-table6-Rhabdoviridae-HMM619-1014_16.0-ORF136
seq42	>ref-NC_022755.1 American bat vesiculovirus TFFN-2013 isolate liver2008, complete genome-table4-Rhabdoviridae-HMM966-1365_15.0-ORF118
seq43	>ref-NC_022581.1 Eel Virus European X complete genome, viral cRNA, isolate 153311-table6-Rhabdoviridae-HMM1044-1442_14.0-ORF126
seq44	>ref-NC_024473.1 Vesicular stomatitis New Jersey virus isolate NJ1184HDB, complete genome-table6-Rhabdoviridae-HMM510-910_18.0-ORF128
seq45	>ref-NC_025251.1 Bokeloh bat lyssavirus isolate 21961, complete genome-table4-Rhabdoviridae-HMM490-886_18.0-ORF133
seq46	>ref-NC_025353.1 Vesicular stomatitis Alagoas virus Indiana 3, complete genome-table4-Rhabdoviridae-HMM447-847_18.0-ORF114
seq47	>ref-NC_025377.1 West Caucasian bat virus, complete genome-table6-Rhabdoviridae-HMM500-897_18.0-ORF137
seq48	>ref-NC_025376.1 Grass carp rhabdovirus V76, complete genome-table6-Rhabdoviridae-HMM1001-1400_14.0-ORF132
seq49	>ref-NC_025354.1 Curionopolis virus isolate BE AR 440009, complete genome-table6-Rhabdoviridae-HMM498-896_18.0-ORF152
seq50	>ref-NC_025384.1 Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY-table6-Rhabdoviridae-HMM468-867_27.0-ORF82
seq51	>ref-NC_025397.1 Coastal Plains virus strain DPP53, complete genome-table4-Rhabdoviridae-HMM493-890_18.0-ORF155
seq52	>ref-NC_025406.1 Dolphin rhabdovirus isolate pxV1 1992, complete genome-table4-Rhabdoviridae-HMM474-872_18.0-ORF127
seq53	>ref-NC_025255.1 Maraba virus from Brazil, complete genome-table4-Rhabdoviridae-HMM461-860_18.0-ORF129
seq54	>ref-NC_025342.1 Kolente virus isolate DakAr K7292, complete genome-table4-Rhabdoviridae-HMM493-892_18.0-ORF115
seq55	>ref-NC_025371.1 Tench rhabdovirus S64, complete genome-table6-Rhabdoviridae-HMM440-839_18.0-ORF135
seq56	>ref-NC_025378.1 Yug Bogdanovac virus, complete genome-table4-Rhabdoviridae-HMM440-839_18.0-ORF117
seq57	>ref-NC_025359.1 Moussa virus isolate C23, complete genome-table6-Rhabdoviridae-HMM489-888_18.0-ORF129
seq58	>ref-NC_025387.1 Scophthalmus maximus rhabdovirus, complete genome-table4-Rhabdoviridae-HMM476-873_18.0-ORF94
seq59	>ref-NC_025408.1 Lyssavirus Ozernoe, complete genome-table4-Rhabdoviridae-HMM507-903_18.0-ORF150
seq60	>ref-NC_025399.1 Oak-Vale virus strain CSIRO 1342, complete genome-table6-Rhabdoviridae-HMM960-1357_15.0-ORF127
seq61	>ref-NC_025253.1 Farmington virus strain CT 114, complete genome-table6-Rhabdoviridae-HMM1266-1655_13.0-ORF130
seq62	>ref-NC_025356.1 Pike fry rhabdovirus isolate F4, complete genome-table6-Rhabdoviridae-HMM977-1376_14.0-ORF127
seq63	>ref-NC_025362.1 Xiburema virus isolate XIBV/BE AR 362159, complete genome-table4-Rhabdoviridae-HMM460-858_18.0-ORF141
seq64	>ref-NC_025385.1 Khujand lyssavirus, complete genome-table6-Rhabdoviridae-HMM516-913_18.0-ORF153
seq65	>ref-NC_025405.1 Niakha virus isolate DakArD 88909, complete genome-table6-Rhabdoviridae-HMM459-856_18.0-ORF128
seq66	>ref-NC_025400.1 Malakal virus isolate SudAr 1169-64, complete genome-table4-Rhabdoviridae-HMM642-1038_17.0-ORF193
seq67	>ref-NC_025392.1 Jurona virus, complete genome-table4-Rhabdoviridae-HMM462-862_18.0-ORF124
