seq1	>ref-NC_005167.1 Golden shiner reovirus segment 2, complete sequence-table6-Spinareovirinae_1-HMM136-841_54.0-ORF34
seq2	>ref-NC_007583.1 Chum salmon reovirus CS segment 2, complete sequence-table4-Spinareovirinae_1-HMM136-841_54.0-ORF35
seq3	>ref-NC_010585.1 American grass carp reovirus segment 2, complete sequence-table6-Spinareovirinae_1-HMM136-841_54.0-ORF33
seq4	>ref-NC_014238.1 Broome virus segment L3, complete genome-table4-Spinareovirinae_1-HMM136-837_54.0-ORF40
seq5	>ref-NC_015878.1 Baboon orthoreovirus segment L2, complete genome-table6-Spinareovirinae_1-HMM132-832_55.0-ORF40
seq6	>ref-NC_015127.1 Avian orthoreovirus segment L2, complete genome-table6-Spinareovirinae_1-HMM133-834_54.0-ORF46
seq7	>ref-NC_020447.1 Melaka orthoreovirus segment L2, complete sequence-table6-Spinareovirinae_1-HMM134-835_54.0-ORF48
seq8	>ref-NC_023819.1 Bush viper reovirus segment L3, complete sequence-table6-Spinareovirinae_1-HMM134-831_54.0-ORF45
seq9	>ref-NC_013225.1 Mammalian orthoreovirus 3 segment L1, complete genome-table4-Spinareovirinae_1-HMM130-831_55.0-ORF50
seq10	>ref-NC_025802.1 Cangyuan orthoreovirus strain Cangyuan segment L2, complete sequence-table6-Spinareovirinae_1-HMM130-831_55.0-ORF48
seq11	>ref-NC_029912.1 Mahlapitsi virus isolate 2511 segment L3, complete sequence-table6-Spinareovirinae_1-HMM131-831_54.0-ORF41
seq12	>ref-NC_030412.1 Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 2, complete sequence-table4-Spinareovirinae_1-HMM136-841_54.0-ORF26
seq13	>ref-NC_034169.1 Fall chinook aquareovirus isolate GSH1 segment 2, complete sequence-table4-Spinareovirinae_1-HMM135-841_54.0-ORF33
seq14	>ref-NC_036477.1 Piscine reovirus isolate CGA280-05 core RNA-dependent RNA polymerase mRNA, complete cds-table6-Spinareovirinae_1-HMM138-848_54.0-ORF41
seq15	>nrnt-MG600122 Nanhai ghost shark reovirus strain NHYJC34894 RNA-dependent RNA polymerase gene, partial cds.-table4-Spinareovirinae_1-HMM153-857_54.0-ORF52
seq16	>nrnt-MG600121 Guangxi changeable lizard reovirus strain GXSXC128977 RNA-dependent RNA polymerase gene, partial cds.-table6-Spinareovirinae_1-HMM129-837_55.0-ORF41
seq17	>nrnt-MG600120 Western African lungfish reovirus strain FZFYC146880 RNA-dependent RNA polymerase gene, partial cds.-table1-Spinareovirinae_1-HMM106-812_57.0-ORF46
seq18	>nrnt-MG600119 Wenling minipizza batfish reovirus 3 strain XQTMSHanta12613 RNA-dependent RNA polymerase gene, partial cds.-table1-Spinareovirinae_1-HMM138-842_57.0-ORF38
seq19	>nrnt-MG600114 Wenling minipizza batfish reovirus 1 strain DHJQYS14691 RNA-dependent RNA polymerase gene, complete cds.-table6-Spinareovirinae_1-HMM132-835_54.0-ORF34
